"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cenid,household,,text,"1. Census (household) number",,,,,,,,,LV,,,,
visdat,household,,text,"2. Date",,,date_dmy,,,,,y,LV,,,,
village,household,,text,"3. Village",,,,,,,,y,LV,,,,
gpslat,household,,text,"4. GPS latitude (degrees)",,,,,,,,y,LV,,,," @PLACEHOLDER=""00.0000"""
gpslong,household,,text,"5. GPS longitude (degrees)",,,,,,,,y,LV,,,," @PLACEHOLDER=""00.0000"""
gpselev,household,,text,"6. GPS elevation (meters)",,,,,,,,y,LV,,,,
numpeopleinhouse,household,,text,"7. How many people are usually in the household? [Katnu ngut em ki bru was sah ha I iung phi?]",,,integer,,,,,y,LV,,,,
enrollhh_rad,household,,radio,"8. Household enrollment status","1, Enrolled | 2, Refused | 3, Not available| 4, Not eligible",,,,,,,y,LV,,,,
respondentsex,household,"Part  A: Demographics of Household",radio,"A1. Gender of respondent","1, Male | 2, Female | 999, Unknown",,,,,,[enrollhh_rad]='1',y,LV,,,,
respondentage,household,,text,"A2. How old are you? [I rata iong u ne ka nong chimbynta?] (if age is unknown, enter 999)(If no person older than 18 years available, go to next household)",,"(If no person older than 18 years available, go to next  household and try again later) ",integer,18,,,[enrollhh_rad]='1',y,LV,,,,
respondenthofh_yn,household,,yesno,"A3. Are you the head of the household? [Phi toh u khlieh duh ka iung?]",,,,,,,[enrollhh_rad]='1',y,LV,,,,
electricity_rad,household,,radio,"A5. Is there electricity in the household? (observe)","1, Yes | 2, No | 3, Other",,,,,,[enrollhh_rad]='1',y,LV,,,,
electricityother,household,,text,"A6. Specify other electricity",,,,,,,"[enrollhh_rad]='1' and [electricity_rad] = '3'",,LV,,,,
water_rad,household,,radio,"A7. What type of water supply? [Ka rukom sam um?]","1, Indoor plumbing [kor um ha iung] | 2, Bore well [um pump] | 3, Open well [pung um] | 4, Stream/river [wahduid/wah] | 5, Public tank/pump [kor um paidbah/pump] | 6, Other [kiwi kiwi]",,,,,,[enrollhh_rad]='1',y,LV,,,,
waterother,household,,text,"A8. Specify other water supply [Batai che]",,,,,,,"[enrollhh_rad]='1' and [water_rad] = '6'",,LV,,,,
toilet_rad,household,,radio,"A9. Is a toilet available? [Ka jingem painkhana?]","1, No toilet for household/open defecation [Ym em thaw lai painkhana ha iung] | 2, Pit latrine available [Dei theh um] | 3, Other [Kiwi kiwi tawon]",,,,,,[enrollhh_rad]='1',y,LV,,,,
toiletother,household,,text,"A10. Specify other toilet availability [Batai che]",,,,,,,"[enrollhh_rad]='1' and [toilet_rad] = '3'",,LV,,,,
toiletuse_rad,household,,radio,"A11. If there is a toilet, do people in the household use it? [Lada em painkhana ha iung, juh pynem kam hi ki wa ha iung phi ki?]","1, Yes, always | 2, Yes, sometimes | 3, No",,,,,,"[enrollhh_rad] = '1' and [toilet_rad] <> '1'",,LV,,,,
mobphone_yn,household,,yesno,"A12. Is there a mobile phone present in your household? [Em mobile phone hi ha iung iong phi?]",,,,,,,[enrollhh_rad]='1',y,LV,,,,
