URI	http://purl.obolibrary.org/obo/EUPATH_0000052
http://purl.obolibrary.org/obo/ENVO_00003064	drinking water source
http://purl.obolibrary.org/obo/EUPATH_0000001	building material
http://purl.obolibrary.org/obo/EUPATH_0000002	dwelling type
http://purl.obolibrary.org/obo/EUPATH_0000003	roof material
http://purl.obolibrary.org/obo/EUPATH_0000006	floor material
http://purl.obolibrary.org/obo/EUPATH_0000009	wall material
http://purl.obolibrary.org/obo/EUPATH_0000014	household wealth index
http://purl.obolibrary.org/obo/EUPATH_0000015	eaves
http://purl.obolibrary.org/obo/EUPATH_0000018	air brick
http://purl.obolibrary.org/obo/EUPATH_0000019	# people / household
http://purl.obolibrary.org/obo/EUPATH_0000021	toilet type
http://purl.obolibrary.org/obo/EUPATH_0000022	electricity?
http://purl.obolibrary.org/obo/EUPATH_0000023	cooking fuel type
http://purl.obolibrary.org/obo/EUPATH_0000024	lighting type
http://purl.obolibrary.org/obo/EUPATH_0000025	# rooms
http://purl.obolibrary.org/obo/EUPATH_0000026	# acres
http://purl.obolibrary.org/obo/EUPATH_0000027	# meals / day
http://purl.obolibrary.org/obo/EUPATH_0000028	# meat meals / wk
http://purl.obolibrary.org/obo/EUPATH_0000029	food problems / wk
http://purl.obolibrary.org/obo/EUPATH_0000030	dist to health facility
http://purl.obolibrary.org/obo/EUPATH_0000031	#F anopheles (CDC trap)
http://purl.obolibrary.org/obo/EUPATH_0000033	G6PD genotype
http://purl.obolibrary.org/obo/EUPATH_0000034	a-thalassemia genotype
http://purl.obolibrary.org/obo/EUPATH_0000035	HbS genotype
http://purl.obolibrary.org/obo/EUPATH_0000038	uncomplicated malaria
http://purl.obolibrary.org/obo/EUPATH_0000040	complicated malaria
http://purl.obolibrary.org/obo/EUPATH_0000042	complicated malaria with danger signs
http://purl.obolibrary.org/obo/EUPATH_0000043	severe malaria
http://purl.obolibrary.org/obo/EUPATH_0000046	severe malaria symptom
http://purl.obolibrary.org/obo/EUPATH_0000047	Hb (g/dl)
http://purl.obolibrary.org/obo/EUPATH_0000048	blood smear reading (+/-)
http://purl.obolibrary.org/obo/EUPATH_0000049	clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000050	routine clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000053	dwelling ventilation
http://purl.obolibrary.org/obo/EUPATH_0000054	Ugandan district
http://purl.obolibrary.org/obo/EUPATH_0000087	household information
http://purl.obolibrary.org/obo/EUPATH_0000088	uncomplicated malaria with pregnancy
http://purl.obolibrary.org/obo/EUPATH_0000089	asymptomatic parasitemia
http://purl.obolibrary.org/obo/EUPATH_0000090	malaria
http://purl.obolibrary.org/obo/EUPATH_0000091	clinical visit date
http://purl.obolibrary.org/obo/EUPATH_0000092	parasite density
http://purl.obolibrary.org/obo/EUPATH_0000093	dwelling information
http://purl.obolibrary.org/obo/EUPATH_0000094	household ID
http://purl.obolibrary.org/obo/EUPATH_0000095	participant ID
http://purl.obolibrary.org/obo/EUPATH_0000096	participant characteristics
http://purl.obolibrary.org/obo/EUPATH_0000097	febrile
http://purl.obolibrary.org/obo/EUPATH_0000099	dwelling facility
http://purl.obolibrary.org/obo/EUPATH_0000100	fever
http://purl.obolibrary.org/obo/EUPATH_0000110	temperature
http://purl.obolibrary.org/obo/OBI_0001169	age
http://purl.obolibrary.org/obo/OBI_0001305	genotype
http://purl.obolibrary.org/obo/OGMS_0000018	laboratory finding
http://purl.obolibrary.org/obo/OGMS_0000073	diagnosis
http://purl.obolibrary.org/obo/PATO_0000047	sex
