Ontology Term IRIs	Ontology Term Label	EuPathDB Preferred Labels	EupathDB Preferred Definitions
http://purl.obolibrary.org/obo/EUPATH_0000026	land area measured in acres	# acres	land area measured in acres
http://purl.obolibrary.org/obo/EUPATH_0000027	number of meals per day	# meals / day	usual number of meals per day
http://purl.obolibrary.org/obo/EUPATH_0000028	number of days eating meat in a week	# meat meals / wk	number of days eating meat in the last week
http://purl.obolibrary.org/obo/EUPATH_0000019	number of people per household	# people / household	number of people in a household
http://purl.obolibrary.org/obo/EUPATH_0000025	number of rooms	# rooms	number of rooms in a dwelling that may be of a particular type such as used for sleeping.
http://purl.obolibrary.org/obo/EUPATH_0000031	number of female anopheles mosquitoes by CDC trap	#F anopheles (CDC trap)	number of female anopheles mosquitoes that may be of a particular type such as those collected using CDC trap in a household in a given night
http://purl.obolibrary.org/obo/OBI_0001169	age since birth measurement datum	age	Age of an organism since birth
http://purl.obolibrary.org/obo/EUPATH_0000113	age since birth at time of visit	age at time of visit	The age of the patient on the day of a clinical visit, measured in years.
http://purl.obolibrary.org/obo/EUPATH_0000018	air brick	air brick	A brick with holes which is embedded in a wall to allow ventilation through it.
http://purl.obolibrary.org/obo/EUPATH_0000063	artemether-lumefantrine drug product	artemether-lumefantrine	A drug used in the treatment or prevention of malaria. In Uganda, coartem (artemether-lumefantrine) is used to treat a patient when he/she is diagnosed as having a new episode of uncomplicated malaria occurring more than 14 days since the last episode.
http://purl.obolibrary.org/obo/EUPATH_0000089	diagnosis of asymptomatic parasitemia	asymptomatic parasitemia	Presence of asexual parasites by microscopy in the absence of subjective fever or documented elevated temperature
http://purl.obolibrary.org/obo/EUPATH_0000034	alpha thalassemia genotype	a-thalassemia genotype	Genotype information about the presence and degree of alpha-thalassemia, a form of thalassemia involving the number of functional HBA1 and HBA2 genes.
http://purl.obolibrary.org/obo/EUPATH_0000126	sample available information	available sample	
http://purl.obolibrary.org/obo/EUPATH_0000116	average number of female Anoepheles	avg F Anopheles	An average count of female Anopheles mosquitoes collected across multiple collections.
http://purl.obolibrary.org/obo/EUPATH_0000118	average number of sporozoite-positive female Anopheles	avg num F Anopheles positive	Average number of female mosquitoes tested positive for sporozoites from a given household
http://purl.obolibrary.org/obo/EUPATH_0000117	average number of female Anopheles tested for sporozoite	avg num F Anopheles tested	Average number of female Anopheles mosquitoes tested for sporozoites across multiple collections from a household
http://purl.obolibrary.org/obo/EUPATH_0000114	average asexual parasite density of a participant with asymptomatic parasitemia	avg parasite density with asymp parasitemia	The average asexual parasite density (count per ul of whole blood) across all visits of the participant who was diagnosed with asymptomatic parasitemia.
http://purl.obolibrary.org/obo/EUPATH_0000115	average asexual parasite density of a participant with malaria	avg parasite density with malaria	The average asexual parasite density (count per ul of whole blood) across all visits of the participant who was diagnosed with malaria
http://purl.obolibrary.org/obo/EUPATH_0000119	average sporozoite rate of female Anopheles	avg sporozoite rate	Average proportion of mosquitoes which tested positive for sporozoites
http://purl.obolibrary.org/obo/EUPATH_0000048	blood smear reading as positive or negative	blood smear reading (+/-)	Whether or not a blood smear was positive for asexual parasites by microscopy
http://purl.obolibrary.org/obo/OBIB_0000036	buffy coat specimen	buffy coat	
http://purl.obolibrary.org/obo/EUPATH_0000001	building material	building material	A material used in the construction of a dwelling.
http://purl.obolibrary.org/obo/DRON_00021246	Chloroquine Injectable Solution	chloroquine (injectable)	
http://purl.obolibrary.org/obo/DRON_00021247	Chloroquine Oral Tablet	chloroquine (oral)	
http://purl.obolibrary.org/obo/EUPATH_0000049	clinical visit	visit type	A patient is seen by a medical practitioner
http://purl.obolibrary.org/obo/EUPATH_0000091	clinical visit date	clinical visit date	The date of a clinical visit.
http://purl.obolibrary.org/obo/EUPATH_0000040	diagnosis of complicated malaria	complicated malaria	Symptomatic malaria with the presence of any 揹anger signs?including inability to sit up or stand, vomiting everything, unable to breastfeed or drink and lethargy or meeting criteria for severe malaria
http://purl.obolibrary.org/obo/EUPATH_0000042	diagnoses of complicated malaria with danger signs	complicated malaria with danger signs	Complicated malaria with signs and symptoms, such as inability to sit up or stand, vomiting everything, unable to breastfeed or drink, lethargy, which are not listed as WHO criteria used to diagnose severe malaria.
http://purl.obolibrary.org/obo/EUPATH_0000023	cooking fuel material	cooking fuel type	Fuel mainly used for cooking.
http://purl.obolibrary.org/obo/OGMS_0000073	diagnosis	diagnosis	The identification of the nature of an illness or other problem by examination of the symptoms.
http://purl.obolibrary.org/obo/EUPATH_0000030	distance to health facility in km	dist to health facility	distance in kilometers to the nearest health facility
http://purl.obolibrary.org/obo/ENVO_00003064	drinking water	drinking water source	Water that is safe enough to be consumed by humans or used with low risk of immediate or long term harm.
http://purl.obolibrary.org/obo/EUPATH_0000099	dwelling facility	dwelling facility	A material in a dwelling that is designed, built, installed, selected, etc., to serve a specific function affording a convenience or service to people who are living in the dwelling.
http://purl.obolibrary.org/obo/EUPATH_0000093	dwelling information	dwelling information	Information about dwelling
http://purl.obolibrary.org/obo/EUPATH_0000002	dwelling	dwelling type	A self-contained 'substantial' unit of accommodation, such as a building, part of a building, caravan, houseboat or other mobile home. Generally there are two categories of dwellings, modern house (cement/wood/metal wall;  tiled/metal roof; and closed eaves) and traditional house (all other houses). A tent is not normally considered to be substantial.
http://purl.obolibrary.org/obo/EUPATH_0000053	dwelling ventilation	dwelling ventilation	Part of a dwelling that can serve to provide an air passage into the dwelling.
http://purl.obolibrary.org/obo/EUPATH_0000015	eaves	eaves	The part of the house where the roof and the walls meet. It may have openings allowing ventilation and access by insects such as mosquitoes.
http://purl.obolibrary.org/obo/EUPATH_0000022	household having electricity information	electricity?	Information states whether a household has electricity.
http://purl.obolibrary.org/obo/EUPATH_0000097	febrile	febrile	elevated temperature or subjective fever
http://purl.obolibrary.org/obo/EUPATH_0000100	subjective fever	fever	Subjective fever as reported by the study participant or their parent/guardian
http://purl.obolibrary.org/obo/EUPATH_0000127	blood specimen on filter paper	filter paper	
http://purl.obolibrary.org/obo/EUPATH_0000006	floor material	floor material	A material used in the construction of a floor.
http://purl.obolibrary.org/obo/EUPATH_0000029	frequency of not satisfying food needs	food problems / wk	how often problems satisfying food needs
http://purl.obolibrary.org/obo/EUPATH_0000033	glucose 6 phosphate dehydrogenase genotype	G6PD genotype	Genotype information about the presence of certain genetic variants of glucose-6-phosphate dehydrogenase.
http://purl.obolibrary.org/obo/OBI_0001305	genotype information	genotype	A genetic characteristics information that is about the genetic material of an organism and minimally includes information about the genetic background and can in addition contain information about specific alleles, genetic modifications, etc.
http://purl.obolibrary.org/obo/EUPATH_0000047	hemoglobin level in gm per dL	Hb (g/dl)	the level of hemoglobin in the blood with a value in units of g/dl.
http://purl.obolibrary.org/obo/EUPATH_0000035	sickle hemoglobin genotype	HbS genotype	Genotype information about the presence of sickle-cell hemoglobin (HbS), an abnormal form of hemoglobin which is the oxygen-carrying protein within the red blood cells.
http://purl.obolibrary.org/obo/EUPATH_0000094	household identifier	household ID	An identifier of a household
http://purl.obolibrary.org/obo/EUPATH_0000087	household information	household information	Information about household
http://purl.obolibrary.org/obo/EUPATH_0000014	household wealth index	household wealth index	Household wealth index is a composite measure of a household's cumulative living standard. It is calculated using easy-to-collect data on a household's ownership of selected assets, such as televisions and bicycles; materials used for housing construction; and types of water access and sanitation facilities.
http://purl.obolibrary.org/obo/OGMS_0000018	laboratory finding	laboratory finding	The result of a labortory test that can support an inference to an assertion about some quality of the patient.
http://purl.obolibrary.org/obo/EUPATH_0000024	lighting material	lighting type	Energy source for lighting
http://purl.obolibrary.org/obo/EUPATH_0000090	diagnosis of malaria - unspecified	malaria	A diagnosis to indicate whether a person has marlaria or not. It has value yes or no.
http://purl.obolibrary.org/obo/EUPATH_0000058	malaria medication	malaria medication	medication for prevention or treatment of malaria
http://purl.obolibrary.org/obo/EUPATH_0000057	medication material	medication	Medications are used to treat symptoms, signs, or a diagnosed disease. Examples are quinine used as a malaria medication, and blood used in a transfusion for replacement of lost blood.  
http://purl.obolibrary.org/obo/EUPATH_0000059	non-malaria medication	non-malaria medication	medication for prevention or treatment of a disease other than malaria.
http://purl.obolibrary.org/obo/EUPATH_0000120	number of CDC light trap collections	num Anopheles collections	Total number of Anoephles collection using CDC Light Trap over the course of the study from a household
http://purl.obolibrary.org/obo/EUPATH_0000124	number of non-routine clinical visits	num non-routine visits	The total number of clinical visits which were not part of the routine visit schedule.
http://purl.obolibrary.org/obo/EUPATH_0000123	number of clinical visits with asymptomatic parasitemia	num visits with asymp parasitemia	The number of clinical visits during which the participant was diagnosed with asymptomatic parasitemia
http://purl.obolibrary.org/obo/EUPATH_0000122	number of clinical visits resulting in a malaria diagnosis	num visits with malaria	The number of clinical visits during which the participant was diagnosed with malaria
http://purl.obolibrary.org/obo/EUPATH_0000092	asexual parasite density in count per ul	parasite density	Number of asexual parasites per ul
http://purl.obolibrary.org/obo/EUPATH_0000096	participant characteristics	participant characteristics	features of a participant
http://purl.obolibrary.org/obo/EUPATH_0000095	human participant identifier	participant ID	An identifier of a participant
http://purl.obolibrary.org/obo/EUPATH_0000128	peripheral blood mononuclear cell specimen	PBMC	
http://purl.obolibrary.org/obo/OBI_0100016	blood plasma specimen	plasma	
http://purl.obolibrary.org/obo/EUPATH_0000062	quinine drug product	quinine	A drug used in the treatment of malaria. In Uganda, quinine is used to treat a patient when he/she is diagnosed as having complicated malaria or has an episode of uncomplicated malaria in 14 or fewer days since the last episode or during the 1st trimester of pregnancy.
http://purl.obolibrary.org/obo/EUPATH_0000129	red blood cell specimen	RBC pellet	
http://purl.obolibrary.org/obo/EUPATH_0000003	roof material	roof material	A material used in the construction of a roof.
http://purl.obolibrary.org/obo/EUPATH_0000050	routine clinical visit	routine clinical visit	A clinical visit that is primarily for a regular examination.
http://purl.obolibrary.org/obo/EUPATH_0000043	diagnosis of severe malaria	severe malaria	A kind of complicated malaria diagnosed based on WHO criteria that include the presence of parasite infections, most commonly P.falciparum, and any one or more of symptoms/signs of serious organ failures or abnormalities, including cerebral malaria, severe anemia, generalized convulsions, hypoglycemia, respiratory distress, fluid and electrolyte disturbances, acute renal failure, ARDS, circulatory collapse, abnormal bleeding, and Jaundice.
