Ontology Term IRIs	Ontology Term Label	EuPathDB Preferred Labels	PRISM Category for display (term in EuPath Preferred Label)	Category in current PRISM DB
http://purl.obolibrary.org/obo/EUPATH_0000113	age since birth at time of visit	age at time of visit		
http://purl.obolibrary.org/obo/OBI_0001169	age since birth measurement datum	age	participant characteristics	participant characteristics
http://purl.obolibrary.org/obo/EUPATH_0000018	air brick	air brick	dwelling ventilation	dwelling ventilation
http://purl.obolibrary.org/obo/EUPATH_0000034	alpha thalassemia genotype	a-thalassemia genotype	genotype	genotype information
http://purl.obolibrary.org/obo/EUPATH_0000063	artemether-lumefantrine drug product	artemether-lumefantrine	malaria medication	
http://purl.obolibrary.org/obo/EUPATH_0000092	asexual parasite density in count per ul	parasite density	laboratory finding	laboratory finding
http://purl.obolibrary.org/obo/EUPATH_0000114	average asexual parasite density of a participant with asymptomatic parasitemia	avg parasite density with asymp parasitemia		
http://purl.obolibrary.org/obo/EUPATH_0000115	average asexual parasite density of a participant with malaria	avg parasite density with malaria		
http://purl.obolibrary.org/obo/EUPATH_0000116	average number of female Anoepheles	avg F Anopheles		
http://purl.obolibrary.org/obo/EUPATH_0000117	average number of female Anopheles tested for sporozoite	avg num F Anopheles tested		
http://purl.obolibrary.org/obo/EUPATH_0000118	average number of sporozoite-positive female Anopheles	avg num F Anopheles positive		
http://purl.obolibrary.org/obo/EUPATH_0000119	average sporozoite rate of female Anopheles	avg sporozoite rate		
http://purl.obolibrary.org/obo/PATO_0000047	biological sex	sex	participant characteristics	participant characteristics
http://purl.obolibrary.org/obo/OBI_0100016	blood plasma specimen	plasma	available sample	
http://purl.obolibrary.org/obo/EUPATH_0000048	blood smear reading as positive or negative	blood smear reading (+/-)	laboratory finding	laboratory finding
http://purl.obolibrary.org/obo/EUPATH_0000127	blood specimen on filter paper	filter paper	available sample	
http://purl.obolibrary.org/obo/OBIB_0000036	buffy coat specimen	buffy coat	available sample	
http://purl.obolibrary.org/obo/EUPATH_0000001	building material	building material	dwelling characteristics	dwelling characteristics
http://purl.obolibrary.org/obo/DRON_00021246	Chloroquine Injectable Solution	chloroquine (injectable)	malaria medication	
http://purl.obolibrary.org/obo/DRON_00021247	Chloroquine Oral Tablet	chloroquine (oral)	malaria medication	
http://purl.obolibrary.org/obo/EUPATH_0000049	clinical visit	visit type		
http://purl.obolibrary.org/obo/EUPATH_0000091	clinical visit date	clinical visit date		
http://purl.obolibrary.org/obo/EUPATH_0000023	cooking fuel material	cooking fuel type	dwelling facility	dwelling facility
http://purl.obolibrary.org/obo/EUPATH_0000042	diagnoses of complicated malaria with danger signs	complicated malaria with danger signs	diagnosis	diagnosis
