Ontology Term IRIs	Ontology Term Label	EupathDB Preferred Definitions
http://purl.obolibrary.org/obo/EUPATH_0000026	land area measured in acres	land area measured in acres
http://purl.obolibrary.org/obo/EUPATH_0000027	number of meals per day	usual number of meals per day
http://purl.obolibrary.org/obo/EUPATH_0000028	number of days eating meat in a week	number of days eating meat in the last week
http://purl.obolibrary.org/obo/EUPATH_0000019	number of people in household	number of people in household
http://purl.obolibrary.org/obo/EUPATH_0000025	number of rooms	number of rooms in a dwelling that may be of a particular type such as used for sleeping.
http://purl.obolibrary.org/obo/EUPATH_0000031	number of female anopheles mosquitoes by CDC trap	number of female anopheles mosquitoes that may be of a particular type such as those collected using CDC trap in a household in a given night
http://purl.obolibrary.org/obo/OBI_0001169	age since birth measurement datum	Age of an organism since birth
http://purl.obolibrary.org/obo/EUPATH_0000113	age since birth at time of visit	"The age of the patient on the day of a clinical visit, measured in years."
http://purl.obolibrary.org/obo/EUPATH_0000018	air brick	A brick with holes which is embedded in a wall to allow ventilation through it.
http://purl.obolibrary.org/obo/EUPATH_0000063	artemether-lumefantrine drug product	"A drug used in the treatment or prevention of malaria. In Uganda, coartem (artemether-lumefantrine) is used to treat a patient when he/she is diagnosed as having a new episode of uncomplicated malaria occurring more than 14 days since the last episode."
http://purl.obolibrary.org/obo/EUPATH_0000089	diagnosis of asymptomatic parasitemia	Presence of asexual parasites by microscopy in the absence of subjective fever or documented elevated temperature
http://purl.obolibrary.org/obo/EUPATH_0000034	alpha thalassemia genotype	"Genotype information about the presence and degree of alpha-thalassemia, a form of thalassemia involving the number of functional HBA1 and HBA2 genes."
http://purl.obolibrary.org/obo/EUPATH_0000126	sample available information	
http://purl.obolibrary.org/obo/EUPATH_0000116	average number of female Anoepheles	An average count of female Anopheles mosquitoes collected across multiple collections.
http://purl.obolibrary.org/obo/EUPATH_0000118	average number of sporozoite-positive female Anopheles	Average number of female mosquitoes tested positive for sporozoites from a given household
http://purl.obolibrary.org/obo/EUPATH_0000117	average number of female Anopheles tested for sporozoite	Average number of female Anopheles mosquitoes tested for sporozoites across multiple collections from a household
http://purl.obolibrary.org/obo/EUPATH_0000114	average asexual parasite density of a participant with asymptomatic parasitemia	The average asexual parasite density (count per ul of whole blood) across all visits of the participant who was diagnosed with asymptomatic parasitemia.
http://purl.obolibrary.org/obo/EUPATH_0000115	average asexual parasite density of a participant with malaria	The average asexual parasite density (count per ul of whole blood) across all visits of the participant who was diagnosed with malaria
http://purl.obolibrary.org/obo/EUPATH_0000119	average sporozoite rate of female Anopheles	Average proportion of mosquitoes which tested positive for sporozoites
http://purl.obolibrary.org/obo/EUPATH_0000048	blood smear reading as positive or negative	Whether or not a blood smear was positive for asexual parasites by microscopy
http://purl.obolibrary.org/obo/OBIB_0000036	buffy coat specimen	
http://purl.obolibrary.org/obo/EUPATH_0000001	building material	A material used in the construction of a dwelling.
http://purl.obolibrary.org/obo/DRON_00021246	Chloroquine Injectable Solution	
http://purl.obolibrary.org/obo/DRON_00021247	Chloroquine Oral Tablet	
http://purl.obolibrary.org/obo/EUPATH_0000049	clinical visit	A patient is seen by a medical practitioner
http://purl.obolibrary.org/obo/EUPATH_0000091	clinical visit date	The date of a clinical visit.
http://purl.obolibrary.org/obo/EUPATH_0000040	diagnosis of complicated malaria	"Symptomatic malaria with the presence of any 揹anger signs?including inability to sit up or stand, vomiting everything, unable to breastfeed or drink and lethargy or meeting criteria for severe malaria"
http://purl.obolibrary.org/obo/EUPATH_0000042	diagnoses of complicated malaria with danger signs	"Complicated malaria with signs and symptoms, such as inability to sit up or stand, vomiting everything, unable to breastfeed or drink, lethargy, which are not listed as WHO criteria used to diagnose severe malaria."
http://purl.obolibrary.org/obo/EUPATH_0000023	cooking fuel material	Fuel mainly used for cooking.
http://purl.obolibrary.org/obo/OGMS_0000073	diagnosis	The identification of the nature of an illness or other problem by examination of the symptoms.
http://purl.obolibrary.org/obo/EUPATH_0000030	distance to health facility in km	distance in kilometers to the nearest health facility
http://purl.obolibrary.org/obo/ENVO_00003064	drinking water	Water that is safe enough to be consumed by humans or used with low risk of immediate or long term harm.
http://purl.obolibrary.org/obo/EUPATH_0000099	dwelling facility	"A material in a dwelling that is designed, built, installed, selected, etc., to serve a specific function affording a convenience or service to people who are living in the dwelling."
http://purl.obolibrary.org/obo/EUPATH_0000093	dwelling information	Information about dwelling
http://purl.obolibrary.org/obo/EUPATH_0000002	dwelling	"A self-contained 'substantial' unit of accommodation, such as a building, part of a building, caravan, houseboat or other mobile home. Generally there are two categories of dwellings, modern house (cement/wood/metal wall;  tiled/metal roof; and closed eaves) and traditional house (all other houses). A tent is not normally considered to be substantial."
http://purl.obolibrary.org/obo/EUPATH_0000053	dwelling ventilation	Part of a dwelling that can serve to provide an air passage into the dwelling.
http://purl.obolibrary.org/obo/EUPATH_0000015	eaves	The part of the house where the roof and the walls meet. It may have openings allowing ventilation and access by insects such as mosquitoes.
http://purl.obolibrary.org/obo/EUPATH_0000022	household having electricity information	Information states whether a household has electricity.
http://purl.obolibrary.org/obo/EUPATH_0000097	febrile	elevated temperature or subjective fever
http://purl.obolibrary.org/obo/EUPATH_0000100	subjective fever	Subjective fever as reported by the study participant or their parent/guardian
http://purl.obolibrary.org/obo/EUPATH_0000127	blood specimen on filter paper	
http://purl.obolibrary.org/obo/EUPATH_0000006	floor material	A material used in the construction of a floor.
http://purl.obolibrary.org/obo/EUPATH_0000029	frequency of not satisfying food needs	how often problems satisfying food needs
http://purl.obolibrary.org/obo/EUPATH_0000033	glucose 6 phosphate dehydrogenase genotype	Genotype information about the presence of certain genetic variants of glucose-6-phosphate dehydrogenase.
http://purl.obolibrary.org/obo/OBI_0001305	genotype information	"A genetic characteristics information that is about the genetic material of an organism and minimally includes information about the genetic background and can in addition contain information about specific alleles, genetic modifications, etc."
http://purl.obolibrary.org/obo/EUPATH_0000047	hemoglobin level in gm per dL	the level of hemoglobin in the blood with a value in units of g/dl.
http://purl.obolibrary.org/obo/EUPATH_0000035	sickle hemoglobin genotype	"Genotype information about the presence of sickle-cell hemoglobin (HbS), an abnormal form of hemoglobin which is the oxygen-carrying protein within the red blood cells."
http://purl.obolibrary.org/obo/EUPATH_0000094	household identifier	An identifier of a household
http://purl.obolibrary.org/obo/EUPATH_0000087	household information	Information about household
http://purl.obolibrary.org/obo/EUPATH_0000014	household wealth index	"Household wealth index is a composite measure of a household's cumulative living standard. It is calculated using easy-to-collect data on a household's ownership of selected assets, such as televisions and bicycles; materials used for housing construction; and types of water access and sanitation facilities."
http://purl.obolibrary.org/obo/OGMS_0000018	laboratory finding	The result of a labortory test that can support an inference to an assertion about some quality of the patient.
http://purl.obolibrary.org/obo/EUPATH_0000024	lighting material	Energy source for lighting
http://purl.obolibrary.org/obo/EUPATH_0000090	diagnosis of malaria - unspecified	A diagnosis to indicate whether a person has marlaria or not. It has value yes or no.
http://purl.obolibrary.org/obo/EUPATH_0000058	malaria medication	medication for prevention or treatment of malaria
http://purl.obolibrary.org/obo/EUPATH_0000057	medication material	"Medications are used to treat symptoms, signs, or a diagnosed disease. Examples are quinine used as a malaria medication, and blood used in a transfusion for replacement of lost blood.  "
http://purl.obolibrary.org/obo/EUPATH_0000059	non-malaria medication	medication for prevention or treatment of a disease other than malaria.
http://purl.obolibrary.org/obo/EUPATH_0000120	number of Anopheles collections	Total number of mosquito collections
http://purl.obolibrary.org/obo/EUPATH_0000124	number of non-routine clinical visits	The total number of clinical visits which were not part of the routine visit schedule.
http://purl.obolibrary.org/obo/EUPATH_0000123	number of clinical visits with asymptomatic parasitemia	The number of clinical visits during which the participant was diagnosed with asymptomatic parasitemia
http://purl.obolibrary.org/obo/EUPATH_0000122	number of clinical visits resulting in a malaria diagnosis	The number of clinical visits during which the participant was diagnosed with malaria
http://purl.obolibrary.org/obo/EUPATH_0000092	asexual parasite density in count per ul	Number of asexual parasites per ul
http://purl.obolibrary.org/obo/EUPATH_0000096	participant characteristics	features of a participant
http://purl.obolibrary.org/obo/EUPATH_0000095	human participant identifier	An identifier of a participant
http://purl.obolibrary.org/obo/EUPATH_0000128	peripheral blood mononuclear cell specimen	
http://purl.obolibrary.org/obo/OBI_0100016	blood plasma specimen	
http://purl.obolibrary.org/obo/EUPATH_0000062	quinine drug product	"A drug used in the treatment of malaria. In Uganda, quinine is used to treat a patient when he/she is diagnosed as having complicated malaria or has an episode of uncomplicated malaria in 14 or fewer days since the last episode or during the 1st trimester of pregnancy."
http://purl.obolibrary.org/obo/EUPATH_0000129	red blood cell specimen	
http://purl.obolibrary.org/obo/EUPATH_0000003	roof material	A material used in the construction of a roof.
http://purl.obolibrary.org/obo/EUPATH_0000050	routine clinical visit	A clinical visit that is primarily for a regular examination.
http://purl.obolibrary.org/obo/EUPATH_0000043	diagnosis of severe malaria	"A kind of complicated malaria diagnosed based on WHO criteria that include the presence of parasite infections, most commonly P.falciparum, and any one or more of symptoms/signs of serious organ failures or abnormalities, including cerebral malaria, severe anemia, generalized convulsions, hypoglycemia, respiratory distress, fluid and electrolyte disturbances, acute renal failure, ARDS, circulatory collapse, abnormal bleeding, and Jaundice."
http://purl.obolibrary.org/obo/EUPATH_0000046	severe malaria symptom or sign	symptom or sign that is used for the diagnosis of severe malaria based on World Health Organization criteria.
http://purl.obolibrary.org/obo/PATO_0000047	biological sex	Either of the two main categories (male and female) into which humans and many other living things are divided on the basis of their reproductive functions
http://purl.obolibrary.org/obo/EUPATH_0000036	diagnosis of malaria	
http://purl.obolibrary.org/obo/EUPATH_0000110	organismal body temperature measurement datum	Organismal body temperature
http://purl.obolibrary.org/obo/EUPATH_0000021	toilet	A sanitation fixture used primarily for the disposal of human urine and feces.
