IRI,label,displayOrder,variable,dataFile,dataSet,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,replaces
http://purl.obolibrary.org/obo/EUPATH_0049009,Healthcare worker managing COVID-19 patients,2,are.you.a.healthcare.worker.involved.in.managing.covid.19.patient,mergedindiacovid,india_covid,Are you a healthcare worker involved in managing COVID-19 patients?,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,Are you a healthcare worker involved in managing COVID-19 patients?,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049003,Patient category,1,patient.category,mergedindiacovid,india_covid,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,Patient category,,variable,
http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,1,nationality,mergedindiacovid,india_covid,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Nationality,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049020,Human metapneumovirus infection,4,human.metapneumovirus,mergedindiacovid,india_covid,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Human metapneumovirus,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049019,Influenza A infection,3,influenza.a,mergedindiacovid,india_covid,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Influenza A,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049008,Respiratory infection: influenza-like illness,2,respiratory.infection.influenza.like.illness,mergedindiacovid,india_covid,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Respiratory infection- Infuenza-like illness,,variable,
http://purl.obolibrary.org/obo/NCIT_C173766,Severe Acute Respiratory Infection (SARI),1,respiratory.infection.sari,mergedindiacovid,india_covid,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Respiratory infection Sari,,variable,
http://purl.obolibrary.org/obo/EUPATH_0000407,District,2,district.of.residence,mergedindiacovid,india_covid,District of residence,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,District of residence,,variable,
http://purl.obolibrary.org/obo/EUPATH_0021095,State,1,state.of.residence,mergedindiacovid,india_covid,State of residence,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,State of residence,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049002,Village or town,3,village.town,mergedindiacovid,india_covid,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Village or town,,variable,
http://purl.obolibrary.org/obo/EUPATH_0000318,Admitting hospital,2,hospital.name,mergedindiacovid,india_covid,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospital name,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049013,Hospital district,4,hospital.district,mergedindiacovid,india_covid,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospital district,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049012,Hospital state,3,hospital.state,mergedindiacovid,india_covid,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospital state,,variable,
