colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
2,laboratory.name,mergedindiacovid,,Laboratory name,,Observation,Laboratory name,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,Laboratory.Name,mergedindiacovid::laboratory.name,chr,National Institute of Biologicals  Noida,NA,NA,"ICMR-National Institute of Malaria Research NIMR, National Institute of Biologicals  Noida",2,0,NA
4,age,mergedindiacovid,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Observation,Age,,,,,,,,Age,mergedindiacovid::age,int,24,NA,NA,0 to 730,110,0,NA
5,age.in,mergedindiacovid,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Observation,Age units,,,,,,,,Age.In,mergedindiacovid::age.in,chr,Years,NA,NA,"Days, Months, Years",3,0,NA
6,gender,mergedindiacovid,http://purl.obolibrary.org/obo/OMRSE_00000209,Gender,Gender of study participant,Participant,Gender,,,,,,,,Gender,mergedindiacovid::gender,chr,M,NA,NA,", F, M, T",3,5.91E-05,NA
7,nationality,mergedindiacovid,http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,,Participant,Nationality,,,,,,,,Nationality,mergedindiacovid::nationality,chr,India,NA,NA,>10 unique values,28,3.69E-05,NA
8,state.of.residence,mergedindiacovid,http://purl.obolibrary.org/obo/EUPATH_0021095,State,State of residence,Household,State of residence,,,,,,,,State.of.Residence,mergedindiacovid::state.of.residence,chr,INDIA,NA,NA,>10 unique values,17,0,NA
9,district.of.residence,mergedindiacovid,http://purl.obolibrary.org/obo/EUPATH_0000407,District,District of residence,Household,District of residence,,,,,,,,District.of.Residence,mergedindiacovid::district.of.residence,chr,INDIA,NA,NA,>10 unique values,122,0,NA
10,village.town,mergedindiacovid,,Village or town,,Household,Village or town,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,Village.Town,mergedindiacovid::village.town,chr,80,NA,NA,>10 unique values,1976,0.901604973,NA
11,patient.category,mergedindiacovid,,Patient category,,Participant,Patient category,,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,Patient.Category,mergedindiacovid::patient.category,chr,Not Known,NA,NA,>10 unique values,1609,0.089122507,NA
12,was.the.patient.quarantined,mergedindiacovid,,Patient quarantined,,Observation,Was the patient quarantined?,,,,Quarantine,"Please make parent term ""Quarantine"" under Observation http://purl.obolibrary.org/obo/EUPATH_0000738 ",,,Was.the.patient.quarantined,mergedindiacovid::was.the.patient.quarantined,chr,No,NA,NA,", No, Yes",2,0.029552468,NA
13,where.were.you.quarantined,mergedindiacovid,,Patient quarantine location,,Observation,Where was the patient quarantined?,,,,Quarantine,"Please make parent term ""Quarantine"" under Observation http://purl.obolibrary.org/obo/EUPATH_0000739",,,Where.were.you.quarantined,mergedindiacovid::where.were.you.quarantined,chr,Facility,NA,NA,", Facility, Home, NA",2,0.979505958,NA
15,did.you.travel.to.foreign.country.in.last.14.days,mergedindiacovid,,Travel to foreign country in last 14 days,Did you travel to a foreign country in the last 14 days?,Observation,Did you travel to a foreign country in the last 14 days?,,,http://purl.obolibrary.org/obo/EUPATH_0000340,Travel details,,,,Did.you.travel.to.foreign.country.in.last.14.days,mergedindiacovid::did.you.travel.to.foreign.country.in.last.14.days,chr,No,NA,NA,", No, Yes, NA",2,0.879737771,NA
16,place.of.travel,mergedindiacovid,,Place visited,Place of travel,Observation,Place of travel,,,http://purl.obolibrary.org/obo/EUPATH_0000340,Travel details,,,,Place.of.Travel,mergedindiacovid::place.of.travel,chr,PHILIFINS,NA,NA,>10 unique values,43,0.998043616,NA
17,respiratory.infection.sari,mergedindiacovid,,Severe Acute Respiratory Infection (SARI),,Observation,Respiratory infection Sari,,,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,,,Respiratory.Infection.Sari,mergedindiacovid::respiratory.infection.sari,chr,No,NA,NA,", No, Yes, NA",2,0.879737771,NA
18,respiratory.infection.influenza.like.illness,mergedindiacovid,,Respiratory infection: influenza-like illness,,Observation,Respiratory infection- Infuenza-like illness,,,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,,,Respiratory.Infection.Influenza.like.illness,mergedindiacovid::respiratory.infection.influenza.like.illness,chr,No,NA,NA,", No, Yes, NA",2,0.879737771,NA
