"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,prevalence_form,,text,"Record ID (do not use)",,,,,,,,,,,,,
invname,prevalence_form,"<h4 style=""text-align:center;font-weight:bold;"">ICEMR Cambodia 2017</h4>
<h4 style=""text-align:center;color:blue;font-weight:bold;"">ទំរង់កត់ត្រាការអង្កេតជំងឺគ្រុនចាញ់ / PREVALENCE FORM</h4>",text,"នាមខ្លួននិងនាមត្រកូលអ្នកអង្កេតការសិក្សារឺអ្នកសំភាស?
What is the investigator name?",,,,,,,,y,,,,,
visdat,prevalence_form,,text,"កាលបរិច្ឆេទការអង្កេតការសិក្សារឺការសំភាស?
What is the visit date?",,,date_dmy,,,,,y,,,,," @TODAY @READONLY"
subjid,prevalence_form,,text,"លេខកូដអ្នកជ្រើសរើសចូលរួមក្នុងការសិក្សា?
What is the subject identifier?
<span style=""font-weight: lighter; font-style:italic;"">[Refer to available list. Do NOT attribute the same identifier to another household once you've allocated it]</span>",,,numeric_nested_id_4d2d,,,y,,y,,,,,
subjname,prevalence_form,,text,"មោះរបស់អ្្នកជ្រើសរើសចូលរួមក្នុងការសិក្សា?
What is the name of the subject?",,,,,,y,,y,,,,,
prev_dummy_text_1,prevalence_form,,descriptive,"<div class=""blue"" style=""text-align:justify;color:blue;background-color:#E2EAFA;"">We are going to ask you questions related to malaria exposure. We are interested in the place you live and the measures you take to protect yourself from being bitten by mosquitoes.

We will also ask questions about past and ongoing medical treatments, and take a small blood sample to look for the presence of malaria parasites.</div>",,,,,,,,,,,,,
prev_dummy_text_2,prevalence_form,"ការធ្វើដំណើរចេញក្រៅភូមិ / Trips outside the village",descriptive,"<div class=""blue"" style=""text-align:justify;color:blue;background-color:#E2EAFA;"">Here we are interested by knowing where the subject has been to during his trip(s) away from the village over the last month. For each trip outside of the village, we would like to know about the place where the subject has been and for how long he stayed there.

These questions are <b>not</b> related to the place where the subject usually work, as these will be asked later in the questionnaire.</div>",,,,,,,,,,,,,
scleft1,prevalence_form,,radio,"តើអ្នកមានចាកចេញពីភូមិទេកាលពីខែមុនហើយអ្នកមានដេកយប់នៅទីនោះទេ?
Has the subject left the village in the last month and spent at least a night away?","1, មាន (Yes) | 0, មិនមាន (No)",,,,,,,,RH,,,,
dummy_text_3,prevalence_form,,descriptive,"<h4 style=""text-align:justify;"">Please enter some details about the places the subject has been to when he left the village. You can enter up to 5 different places in the fields below. Leave the remaining fields blank.

More specific questions will be asked later in this form about going away from the village for work reasons.</h4>",,,,,,,"[scleft1] = '1'",,,,,,
scleft1_place_01,prevalence_form,,text,"ឈ្មោះកន្លែងទី១ដែលអ្នកបានទៅ?
(Location 1) What is the name of this place?",,,,,,,"[scleft1] = '1'",,,,,,
scleft1_province_01,prevalence_form,,text,"ខេត្តរឺប្រទេសរបស់កន្លែងទី១នេះ?
(Location 1) In which province or country is this place?",,,,,,,"[scleft1] = '1'",,RH,,,,
