"colOrder","variable","uniqueVar","dataFile","IRI","label","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","notesForOnt"
"1","sid","gujaratseveremalaria_data_2020-03-015_revised::sid","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000095","Participant ID","","","","","SID","","variable",""
"2","redcap_event_name","gujaratseveremalaria_data_2020-03-015_revised::redcap_event_name","gujaratseveremalaria_data_2020-03-015_revised","BFO_0000015","Observation type","","","","","","","variable",""
"3","date","gujaratseveremalaria_data_2020-03-015_revised::date","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0004991","Observation date","","","","","Date","","variable",""
"5","date_admitted","gujaratseveremalaria_data_2020-03-015_revised::date_admitted","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000319","Hospital admission date","","","","","Admission Date","","variable",""
"6","time_admit","gujaratseveremalaria_data_2020-03-015_revised::time_admit","gujaratseveremalaria_data_2020-03-015_revised","","Hospital admission time","","Observation","Hospitalization","EUPATH_0000308","Admission Time","","variable",""
"7","blood_rad","gujaratseveremalaria_data_2020-03-015_revised::blood_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0033146","Blood sample collected","","","","","Blood obtained for study at admission?","1, Yes | 2, No |99999, unknown","variable",""
"9","datetime_antimal_dose","gujaratseveremalaria_data_2020-03-015_revised::datetime_antimal_dose","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0023050","Treatment start date","","","","","Date and time of first antimalarial dose administered in hospital","","variable",""
"11","info_source_rad","gujaratseveremalaria_data_2020-03-015_revised::info_source_rad","gujaratseveremalaria_data_2020-03-015_revised","","Participant information source","","Participant","Participant study details","EUPATH_0000307","Source of information","1, Patient him/herself | 2, Other","variable",""
"12","info_source_other","gujaratseveremalaria_data_2020-03-015_revised::info_source_other","gujaratseveremalaria_data_2020-03-015_revised","","Other participant information source","","Participant","Participant study details","EUPATH_0000307","If other, specify","","variable",""
"13","city","gujaratseveremalaria_data_2020-03-015_revised::city","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000444","Taluk","","","","","City/Taluk/Tehsil","","variable",""
