colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
1,sid,gujaratseveremalaria_data_2020-03-015_revised,keep,,,SID,NA,,,,NA,sid,gujaratseveremalaria_data_2020-03-015_revised::sid,chr,A0001,NA,NA,>10 unique values,51,once,0,NA
2,redcap_event_name,gujaratseveremalaria_data_2020-03-015_revised,keep,,,NA,NA,,,,NA,redcap_event_name,gujaratseveremalaria_data_2020-03-015_revised::redcap_event_name,chr,enrollment_arm_1,NA,NA,"end_of_study_arm_1, enrollment_arm_1, followup_1_arm_1, followup_2_arm_1, followup_3_arm_1",5,repeated,0,NA
3,date,gujaratseveremalaria_data_2020-03-015_revised,keep,,,Date,NA,,,,dd-mm-yyyy,date,gujaratseveremalaria_data_2020-03-015_revised::date,chr,12/28/16,date?,NA,>10 unique values,41,repeated,0.755980861,NA
4,time,gujaratseveremalaria_data_2020-03-015_revised,discard,,,Time,NA,,,,"hh:mm, use 24-hr clock",time,gujaratseveremalaria_data_2020-03-015_revised::time,chr,11:00:00 AM,NA,NA,>10 unique values,35,repeated,0.755980861,NA
5,date_admitted,gujaratseveremalaria_data_2020-03-015_revised,keep,,,Admission Date,NA,,,,dd-mm-yyyy,date_admitted,gujaratseveremalaria_data_2020-03-015_revised::date_admitted,chr,12/27/16,date?,NA,>10 unique values,41,repeated,0.755980861,NA
6,time_admit,gujaratseveremalaria_data_2020-03-015_revised,keep,,,Admission Time,NA,,,,hh:mm,time_admit,gujaratseveremalaria_data_2020-03-015_revised::time_admit,chr,9:15:00 PM,NA,NA,>10 unique values,42,repeated,0.755980861,NA
7,blood_rad,gujaratseveremalaria_data_2020-03-015_revised,keep,,,Blood obtained for study at admission?,"1, Yes | 2, No |99999, unknown",,,,NA,blood_rad,gujaratseveremalaria_data_2020-03-015_revised::blood_rad,int,2,NA,NA,1 to 2,2,once,0,NA
8,blood_fridge_rad,gujaratseveremalaria_data_2020-03-015_revised,discard,,,Blood stored in fridge?,"1, Yes | 2, No |99999, unknown",,,,NA,blood_fridge_rad,gujaratseveremalaria_data_2020-03-015_revised::blood_fridge_rad,int,NA,NA,NA,1 to 1,1,once,0,NA
9,datetime_antimal_dose,gujaratseveremalaria_data_2020-03-015_revised,keep,,,Date and time of first antimalarial dose administered in hospital,NA,,,,dd-mm-yyyy,datetime_antimal_dose,gujaratseveremalaria_data_2020-03-015_revised::datetime_antimal_dose,chr,12/28/16 10:30,date?,NA,>10 unique values,50,repeated,0.76076555,NA
10,checkedby,gujaratseveremalaria_data_2020-03-015_revised,discard,,,Checked by,NA,,,,NA,checkedby,gujaratseveremalaria_data_2020-03-015_revised::checkedby,chr,Ankita Patel,NA,NA,", Ankita Patel, Megnesh Patel, Sanal Kumar",3,repeated,0.755980861,NA
