colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
13,http://purl.obolibrary.org/obo/EUPATH_0026004,Cohort member,icemr2_observations::cohort,1,icemr2_observations,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,patients within or outside cohort,yes/no,variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,1,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
4,http://purl.obolibrary.org/obo/EUPATH_0033147,Blood sample collection date,icemr2_observations::punchdate,1,icemr2_observations,,Sample,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,Blood draw date,,variable,,,,yes,yes,yes,ICEMR2 SEA Surveillance,,,,,,,,,
7,http://purl.obolibrary.org/obo/OBI_0001169,Age,icemr2_observations::age_y,2,icemr2_observations,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age in Year,,variable,,,,yes,,,ICEMR2 SEA Surveillance,Years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
8,http://purl.obolibrary.org/obo/PATO_0000047,Sex,icemr2_observations::sex,1,icemr2_observations,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Male/Female,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0030005,Birth year,icemr2_participants::dob_yy,3,icemr2_participants,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Year of birth,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
13,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,icemr2_participants::eduid,4,icemr2_participants,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Education,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
11,http://purl.obolibrary.org/obo/OMRSE_00000205,Ethnicity,icemr2_participants::ethnicid,6,icemr2_participants,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Ethnicity,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
10,http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,icemr2_participants::nationid,5,icemr2_participants,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Nationality,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
5,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,icemr2_households::housetype,1,icemr2_households,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Type of house,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
10,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,icemr2_observations::occupation,1,icemr2_observations,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,Occupation,,variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,1,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
8,http://purl.obolibrary.org/obo/EUPATH_0026006,District in Thailand,icemr2_households::district,3,icemr2_households,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
2,http://purl.obolibrary.org/obo/EUPATH_0057901,Hamlet,icemr2_households::hamlet,6,icemr2_households,Subvillage is the smallest unit in administrative areas,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Subvillage is the smallest unit in administrative areas,"SO=Suan Oi, OP=Orphanage,PM=Pa Man, KN=Ko Ma Nae, SN=Mae Slid Noi, NB=Nong Bua, TO= Talaorka",variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
7,http://purl.obolibrary.org/obo/EUPATH_0026007,Province in Thailand,icemr2_households::province,5,icemr2_households,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Province,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
9,http://purl.obolibrary.org/obo/EUPATH_0026002,Subdistrict in Thailand,icemr2_households::subdistrict,4,icemr2_households,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Subdistrict,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,1,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
6,http://purl.obolibrary.org/obo/ENVO_00000009,Country,icemr2_households::country,2,icemr2_households,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country,,variable,,,,,,,ICEMR2 SEA Surveillance,,,yes,,,,,,
10,http://purl.obolibrary.org/obo/ENVO_01000773,Village,icemr2_households::village,7,icemr2_households,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,ICEMER2 Village code system,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
11,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,icemr2_households::latitude,1,icemr2_households,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Latitude household,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,variableTree,,,,,
12,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,icemr2_households::longitude,2,icemr2_households,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Longitude household,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,variableTree,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,,3,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,,4,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,,5,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,,6,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,,7,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,,8,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,1,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,2,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
9,http://purl.obolibrary.org/obo/EUPATH_0000376,Relationship to household head,icemr2_participants::relatid,1,icemr2_participants,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Relationship,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,1,,,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
6,http://purl.obolibrary.org/obo/BFO_0000015,Observation type,icemr2_observations::datasource,1,icemr2_observations,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,observations from activities,"MBS1-11, PCD=Passive Case Detection",variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,2,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,3,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,4,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,6,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,5,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
2,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,icemr2_observations::temp,1,icemr2_observations,,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,body temperature,,variable,,,,yes,,,ICEMR2 SEA Surveillance,C,http://purl.obolibrary.org/obo/UO_0000027,,,,,,,
12,http://purl.obolibrary.org/obo/EUPATH_0025125,"Plasmodium, by qPCR",icemr2_observations::confirmedpcrresult,3,icemr2_observations,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,result confirmed from PCR,"Neg, V, F, F+V, M, K, Not Done, Unspecify sp.",variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
11,http://purl.obolibrary.org/obo/EUPATH_0027009,"Plasmodium, by microscopy",icemr2_observations::confirmedslideresult,1,icemr2_observations,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Slide confirmed from Lab (Microscopic),"Neg, V, F, F+V, M, K",variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0064351,"Plasmodium, by field microscopy",icemr2_observations::malaria_result,2,icemr2_observations,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,result from field test (Microscopic),"F,F+V,V,Neg",variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,,2,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,category,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
