IRI,label,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,NICUNEC.txt::country,NICUNEC.txt,,,,,,,,,,,,,,
ENVO_01000739,Habitat,NICUNEC.txt::env_feature,NICUNEC.txt,,,,,,ENVO_00002297,,,,,,,,
EUPATH_0000581,Delivery mode,NICUNEC.txt::baby_delivery_mode,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0000639,Study group,NICUNEC.txt::Study cohort,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009095,Gestational age at birth,NICUNEC.txt::gestational_age,NICUNEC.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009172,Group B Streptococcus infection,NICUNEC.txt::mother_group_b_streptococcus,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009175,Chorioamnionitis,NICUNEC.txt::chorioamnionitis,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009177,Necrotizing enterocolitis,NICUNEC.txt::Nectrotizing Enterocolitis (NEC),NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009186,Birth plurality,NICUNEC.txt::birth_plurality,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009187,Amnionicity,NICUNEC.txt::amnionicity,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009188,Chorionicity,NICUNEC.txt::chorionicity,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009189,Twin type,NICUNEC.txt::fraternal_or_identical_twins,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009191,Maternal antepartum antibiotics administered,NICUNEC.txt::maternal_antepartum_antibiotics,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009192,Maternal antepartum antibiotics administered time,NICUNEC.txt::maternal_antepartum_antibiotics_timing_prior_to_delivery,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009194,Acyclovir,NICUNEC.txt::sample_acyclovir,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009195,Amoxicillin,NICUNEC.txt::sample_amoxicillin,NICUNEC.txt,,,,,,,,,,,,,,
EUPATH_0009196,Ampicillin,NICUNEC.txt::sample_ampicillin,NICUNEC.txt,,,,,,,,,,,,,,
