dataSet,variable,dataFile,colOrder,label,IRI,definition,category,displayOrder,parentLabel,parentIRI,termType,repeated,is_temporal,mergeKey,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
clinepidb_study_explorer,,,,Data accessibility,http://purl.obolibrary.org/obo/EUPATH_9990003,,Study,,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,,,,,,,,,,,,,
clinepidb_study_explorer,,,,Data categorization,http://purl.obolibrary.org/obo/EUPATH_9990004,,Study,,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,,,,,,,,,,,,,
clinepidb_study_explorer,,,,Release information,http://purl.obolibrary.org/obo/EUPATH_9990005,,Study,,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,,Study,,,,,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study administrative information,http://purl.obolibrary.org/obo/EUPATH_9990006,,Study,,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study country,http://purl.obolibrary.org/obo/EUPATH_9990007,,Country,,,,,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study identifiers,http://purl.obolibrary.org/obo/EUPATH_9990008,,Study,,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study identifiers for internal use by ClinEpiDB staff,http://purl.obolibrary.org/obo/EUPATH_9990009,,Study,,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study sample size,http://purl.obolibrary.org/obo/EUPATH_9990010,,Study,,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,,,,,,,,,,,,,
clinepidb_study_explorer,,,,,,,,,,,,,,,,,,,,,,,
clinepidb_study_explorer,,,,,,,,,,,,,,,,,,,,,,,
clinepidb_study_explorer,plasmodb,study_summaries_table_reorg,6,PlasmoDB.org,,,Study,1,Additional data,http://purl.obolibrary.org/obo/EUPATH_0000790,value,,,,,,,,,,,,
clinepidb_study_explorer,vectorbase,study_summaries_table_reorg,7,VectorBase.org,,,Study,2,Additional data,http://purl.obolibrary.org/obo/EUPATH_0000790,value,,,,,,,,,,,,
clinepidb_study_explorer,microbiomedb,study_summaries_table_reorg,8,MicrobiomeDB.org,,,Study,3,Additional data,http://purl.obolibrary.org/obo/EUPATH_0000790,value,,,,,,,,,,,,
clinepidb_study_explorer,,,,Additional data,http://purl.obolibrary.org/obo/EUPATH_0000790,VEuPathDB.org site(s) where additional study data can be accessed.,Study,1,Data accessibility,http://purl.obolibrary.org/obo/EUPATH_9990003,multifilter,,,,,,,,,,,,
clinepidb_study_explorer,data_accessibility,study_summaries_table_reorg,9,Data access level,http://purl.obolibrary.org/obo/DUO_0000001,"There are five categories of data access restrictions, which differ in what levels of access are required to see aggregated vs disaggregated data. Aggregated data includes what can be seen in the �Browse and subset� and �Visualize� tabs, while disaggregated data includes what can be seen in filed downloaded from the �Download� tab. (i) Public: No access restrictions. Users can view and download the data as �Guests� without logging in. (ii) Controlled: Guest users can view aggregated data via the �Browse and subset� and �Visualize� tabs, but must register and request access to download data. The request may be submitted via a form that pops up when a user logs in with a registered account and clicks on any file in the �Download� tab. Data can be downloaded by the registered user immediately following request submission. (iii) Protected: Guest users can view aggregated data via the �Browse and subset� and �Visualize� tabs, but must register, request, and obtain approval from the data providers to download data. The request may be submitted via a form that pops up when a registered user is logged in and clicks on any file in the �Download� tab. (iv) Private: A registered user must request and obtain approval to access any aspect of the data. The request may be submitted via a form that pops up when a registered user is logged in and clicks on the study. (v) Prerelease: The study is under active development for future release, and only the study team can access the data. Guest and registered users can view the study page only.",Study,2,Data accessibility,http://purl.obolibrary.org/obo/EUPATH_9990003,variable,,,,,,yes,,,,,,
clinepidb_study_explorer,percent_approved,study_summaries_table_reorg,10,Percent approved,,The percent of data access requests received from ClinEpiDB website users that were approved by the original study team. ,Study,3,Data accessibility,http://purl.obolibrary.org/obo/EUPATH_9990003,variable,,,,,,,,,,,,
clinepidb_study_explorer,total_requests,study_summaries_table_reorg,11,Total requests,,"Number of data access requests received from ClinEpiDB website users. The number of requests for ""Public"" studies are not recorded.",Study,4,Data accessibility,http://purl.obolibrary.org/obo/EUPATH_9990003,variable,,,,,,,,,,,,
clinepidb_study_explorer,,,,Disease,http://purl.obolibrary.org/obo/DOID_4,Classification of disease(s) investigated by the study.,Study,1,Data categorization,http://purl.obolibrary.org/obo/EUPATH_9990004,multifilter,,,,,,,,,,,,
clinepidb_study_explorer,,,,WHO indicator subdomain,http://purl.obolibrary.org/obo/EUPATH_0000763,"Categorization of core health indicators about the quality, risk, or access to health care deemed clinically significant by the World Health Organization.",Study,1,Data categorization,http://purl.obolibrary.org/obo/EUPATH_9990004,multifilter,,,,,,,,,,,,
clinepidb_study_explorer,diarrheal_disease,study_summaries_table_reorg,17,Diarrheal disease,http://purl.obolibrary.org/obo/DOID_13250,,Study,1,Disease,http://purl.obolibrary.org/obo/DOID_4,value,,,,,,,,,,,,
clinepidb_study_explorer,malaria,study_summaries_table_reorg,18,Malaria,http://purl.obolibrary.org/obo/DOID_12365,,Study,2,Disease,http://purl.obolibrary.org/obo/DOID_4,value,,,,,,,,,,,,
clinepidb_study_explorer,schistosomiasis,study_summaries_table_reorg,21,Schistosomiasis,http://purl.obolibrary.org/obo/DOID_1395,,Study,3,Disease,http://purl.obolibrary.org/obo/DOID_4,value,,,,,,,,,,,,
clinepidb_study_explorer,respiratory_condition,study_summaries_table_reorg,19,Respiratory condition,http://purl.obolibrary.org/obo/DOID_1579,,Study,4,Disease,http://purl.obolibrary.org/obo/DOID_4,value,,,,,,,,,,,,
clinepidb_study_explorer,hiv,study_summaries_table_reorg,20,HIV,http://purl.obolibrary.org/obo/DOID_526,,Study,5,Disease,http://purl.obolibrary.org/obo/DOID_4,value,,,,,,,,,,,,
clinepidb_study_explorer,filariasis,study_summaries_table_reorg,22,Filariasis,http://purl.obolibrary.org/obo/DOID_1080,,Study,6,Disease,http://purl.obolibrary.org/obo/DOID_4,value,,,,,,,,,,,,
clinepidb_study_explorer,release_date,study_summaries_table_reorg,15,Build date for current release,,Date the dataset was released onto the ClinEpiDB website in its current form.,Study,1,Release information,http://purl.obolibrary.org/obo/EUPATH_9990005,variable,,,,,,,,,,,,
clinepidb_study_explorer,release_number,study_summaries_table_reorg,14,Build number for current release,,Website build number for the release of the dataset in its current form onto ClinEpiDB.org.,Study,2,Release information,http://purl.obolibrary.org/obo/EUPATH_9990005,variable,,,,,,,,,,,,
clinepidb_study_explorer,build_number_introduced,study_summaries_table_reorg,16,Build number introduced,,Website build number for the first time the dataset was released onto ClinEpiDB.org.,Study,3,Release information,http://purl.obolibrary.org/obo/EUPATH_9990005,variable,,,,,,,,,,,,
clinepidb_study_explorer,variables,study_summaries_table_reorg,44,Variable count,,The number of variables in the dataset.,Study,1,Study sample size,http://purl.obolibrary.org/obo/EUPATH_9990010,variable,,,,,,,,,,,,
clinepidb_study_explorer,households,study_summaries_table_reorg,45,Household count,http://purl.obolibrary.org/obo/EUPATH_0000773,The number of households surveyed in the dataset.,Study,2,Study sample size,http://purl.obolibrary.org/obo/EUPATH_9990010,variable,,,,,,,,,,,,
clinepidb_study_explorer,participants,study_summaries_table_reorg,46,Participant count,http://purl.obolibrary.org/obo/OMIABIS_0001011,The number of participants surveyed in the dataset.,Study,3,Study sample size,http://purl.obolibrary.org/obo/EUPATH_9990010,variable,,,,,,,,,,,,
clinepidb_study_explorer,participant_repeated_measures,study_summaries_table_reorg,47,Participant repeated measures count,http://purl.obolibrary.org/obo/EUPATH_0000774,The number of unique observations of participants in the dataset.,Study,4,Study sample size,http://purl.obolibrary.org/obo/EUPATH_9990010,variable,,,,,,,,,,,,
clinepidb_study_explorer,samples,study_summaries_table_reorg,48,Samples count,http://purl.obolibrary.org/obo/EUPATH_0000775,The number of samples investigated in the dataset.,Study,5,Study sample size,http://purl.obolibrary.org/obo/EUPATH_9990010,variable,,,,,,,,,,,,
clinepidb_study_explorer,blood,study_summaries_table_reorg,26,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,Study,1,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,stool,study_summaries_table_reorg,27,Stool sample,http://purl.obolibrary.org/obo/OBI_0002503,,Study,2,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
