IRI,label,dataSet,dataFile,variable,termType,definition,display_Order,category,parentLabel,parentIRI,notesForDL,codebookDescription,codebookValues
http://purl.obolibrary.org/obo/EUPATH_0000647,Blood alpha-1-acid glycoprotein (mg/dL),"MAL-ED, 0 to 36 months",mn_blood_iar.csv,agpval1,variable,,5,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,do not load from vax_and_titer_wdates.csv,1= adjtfr<2.9; 2=  2.9<= adjtfr < 8.3; 3= adjtfr>=8.3 . Source=calculated.,"1, 2, 3, NA"
http://purl.obolibrary.org/obo/EUPATH_0011849,Blood ferritin (ng/mL),"MAL-ED, 0 to 36 months",mn_blood_iar.csv,farval1,variable,,9,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,do not load from vax_and_titer_wdates.csv,1= adjtfr<2.9; 2=  2.9<= adjtfr < 8.3; 3= adjtfr>=8.3 . Source=calculated.,"1, 2, 3, NA"
http://purl.obolibrary.org/obo/EUPATH_0011850,"Blood ferritin (ng/mL), 2nd","MAL-ED, 0 to 36 months",mn_blood_iar.csv,farval2,variable,,10,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,do not load from vax_and_titer_wdates.csv,1= adjtfr<2.9; 2=  2.9<= adjtfr < 8.3; 3= adjtfr>=8.3 . Source=calculated.,"1, 2, 3, NA"
http://purl.obolibrary.org/obo/EUPATH_0000688,Blood lead (ug/dL),"MAL-ED, 0 to 36 months",mn_blood_iar.csv,bllconc,variable,,13,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,do not load from vax_and_titer_wdates.csv,1= adjtfr<2.9; 2=  2.9<= adjtfr < 8.3; 3= adjtfr>=8.3 . Source=calculated.,"1, 2, 3, NA"
http://purl.obolibrary.org/obo/EUPATH_0011875,Blood retinol (mg/dL),"MAL-ED, 0 to 36 months",mn_blood_iar.csv,rarconc,variable,,21,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,do not load from vax_and_titer_wdates.csv,1= adjtfr<2.9; 2=  2.9<= adjtfr < 8.3; 3= adjtfr>=8.3 . Source=calculated.,"1, 2, 3, NA"
http://purl.obolibrary.org/obo/EUPATH_0011156,Blood soluble transferrin receptor (mg/L),"MAL-ED, 0 to 36 months",mn_blood_iar.csv,tfrconc,variable,,17,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,do not load from vax_and_titer_wdates.csv,1= adjtfr<2.9; 2=  2.9<= adjtfr < 8.3; 3= adjtfr>=8.3 . Source=calculated.,"1, 2, 3, NA"
http://purl.obolibrayr.org/obo/EUPATH_0011928,Urban or rural site,"MAL-ED, 0 to 36 months",zscores.csv,,derived,,2,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,"create this variable using ""country_id"" in zscores.csv; ""Rural""= PE, PK, SA, TZ, ""urban""=BG, BR, IN, NP","Source=calculated. Is site urban or rural? Urban sites = BG, BR, IN, NP; rural sites = PE, PK, SA, TZ","BG, BR, IN, NP, PE, PK, SA, TZ"
http://purl.obolibrary.org/obo/EUPATH_0011924,Blood sample collected in target window,"MAL-ED, 0 to 36 months",mn_blood_iar.csv,,derived,,1,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,"create this variable using ""window"" variable where sampletype==blood","Assessment is conducted in target window, extened window, out of window. Source=FRQ. out of window = 0, in target window = 1, in extended window = 2","0, 1, 2, NA"
http://purl.obolibrary.org/obo/EUPATH_0011923,Urine sample collected in target window,"MAL-ED, 0 to 36 months",mn_blood_iar.csv,,derived,,2,Sample,Urine sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011473,"create this variable using ""window"" variable where sampletype==urine","Assessment is conducted in target window, extened window, out of window. Source=FRQ. out of window = 0, in target window = 1, in extended window = 2","0, 1, 2, NA"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
