updated,colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,notesForProvider,notesForDL,newLabel
,,25,2,fsewdrink,wami_24m.csv,http://purl.obolibrary.org/obo/ENVO_00003064,Main drinking water source,,household,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,What is the main source of drinking water for members of your household?. Source=FSE,Piped into dwelling = 01; Piped to yard/plot = 02 ; Public tap/stand pipe= 03 ; Tube well or borehole = 04; Protected well = 05; Unprotected well = 06 ; Surface water (river/ dam/ lake/pond/ stream/canal/irrigation canal) = 07 ; Other = 08,,,,
,,5,1,fsefloor,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Main material of the floor (observation). Source=FSE,Earth/sand/clay/mud/dung = 01; Wood  = 02;  Ceramic tiles or vinyl= 03;Cement/concrete = 04; Other = 05,,,,
,,7,3,fsewall,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,,household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Main material of the walls (observation). Source=FSE,No walls = 01;Mud = 02;Wood = 03;Cement/concrete = 04;Stone = 05;Metal = 06;Other = 07,,,,
,,38,5,asset,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",,household,Income information,http://purl.obolibrary.org/obo/EUPATH_0011707,"sum of 8 assets scores. Has?: mattress,chair,table,tv,refrigertaor,bank account,kitchen, < 2 people per room. Positive reponses for each of these get a score of 1 while negative responses get 0. . Source=FSE(derived)",range 0-8,,,,
,,213,2,date,"illnessfull_24m.csv, Zscores_24m.csv, bf_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0000091,Date of breastfeeding observation,,observation,Breastfeeding information,http://purl.obolibrary.org/obo/EUPATH_0011730,Date. Source=CAF/MOA/MOB/SAF,,,,,
,,65,1,pid,"illnessfull_24m.csv, micro_x_24m.csv, Zscores_24m.csv, bf_24m.csv, diet_24m.csv, fsq_24m.csv, mn_blood_iar_24m.csv, mpo_neo_ala_24m.csv, wami_24m.csv, WHOcoreallsites_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA,unique identifier,,,,
,,64,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,participant,,http://www.w3.org/2002/07/owl#Thing,,,,,,
,,40,1,fseabank,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,,household,Assets,http://purl.obolibrary.org/obo/EUPATH_0011703,Does any member of your household own a bank account?. Source=FSE,Yes = 01; No = 00,,,,
,,41,2,fseamatt,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000168,Bed,,household,Assets,http://purl.obolibrary.org/obo/EUPATH_0011703,Does your household have a mattress?. Source=FSE,Yes = 01; No = 00,,,,
,,42,3,fseachair2,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000173,Chair,,household,Assets,http://purl.obolibrary.org/obo/EUPATH_0011703,Does your household have a chair or bench?. Source=FSE,Yes = 01; No = 00,,,,
,,43,4,fseatab,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000184,Table,,household,Assets,http://purl.obolibrary.org/obo/EUPATH_0011703,Does your household have a table?. Source=FSE,Yes = 01; No = 00,,,,
,,10,3,,,http://purl.obolibrary.org/obo/EUPATH_0000302,Facilities,,household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,,,,
,,4,2,,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,,,,
,,26,4,,,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,,,,
,,136,12,,,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization information,,observation,Illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0010992,,,,,,
,,15,3,fsetoiletmod,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000335,Type of sanitary facility,,household,Sanitation facility,http://purl.obolibrary.org/obo/EUPATH_0000596,"What kind of toilet facility do members of your household usually use? Equal to FSE toilet except when new data provided by TZH, SAV, and PEL conflict. It is preferable to use this variable than the raw variable as correct accounting for type of latrine has been made. . Source=Derived","No facility/bush/field or bucket toilet/pit latrine without slab = 01(unimproved);Pit latrine without flush/with slab(improved) = 02;Flush to piped sewer system = 03 Flush to septic tank = 04 ;Flush to pit latrine = 05 ;Flush to somewhere else = 06;Other = 07		",,household,Sanitation facility,http://purl.obolibrary.org/obo/EUPATH_0000596
,,145,1,safabt,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000582,Antibiotics,,observation,Antibiotic administration,http://purl.obolibrary.org/obo/EUPATH_0010001,1=penicillin; 2=cephalosporins; 3=sulfonamides; 4=macrolides; 5=tetracyclines; 6=fluoroquinolones; 7=unknown; 8=metronidazole; 9=other. Source=SAF,1=penicillin; 2=cephalosporins; 3=sulfonamides; 4=macrolides; 5=tetracyclines; 6=fluoroquinolones; 7=unknown; 8=metronidazole; 9=other. ,,,,
,,12,2,,,http://purl.obolibrary.org/obo/EUPATH_0000596,Sanitation facility,,household,Facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,,,,,,
,,372,10,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample information,,sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0011679,,,,,,
,,107,1,agedays,"micro_x_24m.csv, Zscores_24m.csv, bf_24m.csv, diet_24m.csv, fsq_24m.csv, mn_blood_iar_24m.csv, mpo_neo_ala_24m.csv, wami_24m.csv, WHOcoreallsites_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0000644,Age (days),,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Age in days at assessment date. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA,,agedays from multiple datasets will collapse into the same label,,agedays from multiple datasets will collapse into the same label,
,,877,2,AGPVAL1,mn_blood_iar_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000647,Alpha-1-acid glycoprotein (mg/dL),,sample,Alpha-1-acid glycoprotein,http://purl.obolibrary.org/obo/EUPATH_0011723,AGP Value (mg/dl). Source=AGP,,,,,
,,113,4,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,,,
yes,,149,1,diar,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0000665,Diarrhea,,observation,Diarrheal episode information,http://purl.obolibrary.org/obo/EUPATH_0010016,"Binary variable that indicates whether or not child had study-defined diarrhea. From illness dataset. Days when the study definition is met, but there was an LM test that day or the previous day, were set to 0 (not 'diarrhea' since LM has been found to cause loose stools).. Source=illnessfull.csv", Diar=1 if numls>2 or if [safblood==1 and the child had 1 to 2 loose stools],,,,
,,147,14,,,http://purl.obolibrary.org/obo/EUPATH_0000670,Gastrointestinal illness,,observation,Illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0010992,,,,,,
,,117,4,zhc,Zscores_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000682,Head-circumference-for-age z-score,,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Head circumference Z-score. Source=calculated,,,,,
,,114,1,head,Zscores_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000683,Head circumference (cm),,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Head circumference in cm. Source=CAF/MOA/MOB/MOC,,,,,
,,881,2,IARCONC,mn_blood_iar_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000687,Iodine (ug/L),,sample,Iodine,http://purl.obolibrary.org/obo/EUPATH_0011749,Urinary iodine concentration (mcg/L). Source=IAR,,,,,
,,868,2,BLLCONC,mn_blood_iar_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000688,Lead (ug/dL),,sample,Lead,http://purl.obolibrary.org/obo/EUPATH_0011722,Blood lead concentration (mcg/dL). Source=BLL,,"units in protoge are wrong (were based on variable from another study), do we need to create new IRI?",,,
