dataSet,dataFile,variable,label,category,IRI,codebookDescription,codebookValues,multifilter,overallOrder,definition,QCed,
"MAL-ED, 0 to 36 months",mn_blood_iar.csv,adjtfr,Adjusted blood soluble transferrin receptor (mg/L),Sample,NA,"inflammation (AGPVAL>100) adjusted tfr concentration using site specific correction factors*. Correction factors: BG 1.0220263, BR 1.0004088, IN 1.0700322, NP 0.9913484, PE 1.0174282, PK 1.0372579, SA 1.2388953, TZ 1.0305495. Source=calculated",,,37,,y,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,adjtfr,Adjusted blood soluble transferrin receptor (mg/L),Sample,NA,,,,224,,,
"MAL-ED, 0 to 36 months",mn_blood_iar.csv,adjtfrcat,Adjusted blood soluble transferrin receptor level,Sample,NA,1= adjtfr<2.9; 2=  2.9<= adjtfr < 8.3; 3= adjtfr>=8.3 . Source=calculated,,,38,,y,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,adjtfrcat,Adjusted blood soluble transferrin receptor level,Sample,NA,,,,225,,,
"MAL-ED, 0 to 36 months",LMZ.csv,agedays,Age (days),Observation,http://purl.obolibrary.org/obo/EUPATH_0000579,Age in days at assessment date. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA,,,NA,,,
"MAL-ED, 0 to 36 months",zscores.csv,agedays,Age (days),Observation,http://purl.obolibrary.org/obo/EUPATH_0000579,Age in days at assessment date. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA,,,8,,y,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,bcgdate1,Date,Observation,NA,,,,422,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,bcgdate1,Date,Observation,NA,,,,189,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,bcgdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,422,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,bcgdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,189,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,bcgdate2,Date,Observation,NA,,,,426,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,bcgdate2,Date,Observation,NA,,,,192,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,bcgdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,426,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,bcgdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,192,,,
"MAL-ED, 0 to 36 months",zscores.csv,country_id,Country,Household,http://purl.obolibrary.org/obo/OBI_0001627,Country ID. Source=FRQ,,,3,,y,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,cpoxdate1,Date,Observation,NA,,,,30,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,cpoxdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,30,,,
"MAL-ED, 0 to 36 months",zscores.csv,date,Anthropometry assessment date,Observation,NA,Date. Source=CAF/MOA/MOB/SAF,,,5,,c,
"MAL-ED, 0 to 36 months",bf2.csv,date,Breastfeeding observation date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011879,Date. Source=CAF/MOA/MOB/SAF,,,9,,y,
"MAL-ED, 0 to 36 months",bf2.csv,date,Date,Observation,NA,Date. Source=CAF/MOA/MOB/SAF,,,9,,c,Observation date
"MAL-ED, 0 to 36 months",illnessfull.csv,date,Date,Observation,NA,Date. Source=CAF/MOA/MOB/SAF,,,5,,c,Observation date
"MAL-ED, 0 to 36 months",zscores.csv,date,Date,Observation,NA,Date. Source=CAF/MOA/MOB/SAF,,,5,,c,Observation date
"MAL-ED, 0 to 36 months",illnessfull.csv,date,Illness surveillance date,Observation,NA,Date. Source=CAF/MOA/MOB/SAF,,,5,,c,
"MAL-ED, 0 to 36 months",TAC.csv,date,Sample collection date,Sample,http://purl.obolibrary.org/obo/OBI_0001619,Date. Source=CAF/MOA/MOB/SAF,,,4,,y,
"MAL-ED, 0 to 36 months",mn_blood_iar.csv,datecol,Sample collection date,Sample,http://purl.obolibrary.org/obo/OBI_0001619,Date of sample collection. Source=calculated,,,3,,y,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,datecol,Sample collection date,Sample,http://purl.obolibrary.org/obo/OBI_0001619,,,,13,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dewormdate1,Date,Observation,NA,,,,40,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dewormdate1,Date,Observation,NA,,,,184,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dewormdate1,Deworming date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011220,,,,40,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dewormdate1,Deworming date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011220,,,,184,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dewormdate2,Date,Observation,NA,,,,44,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dewormdate2,Deworming date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011220,,,,44,,,
"MAL-ED, 0 to 36 months",bf2.csv,dob,Birth date,Participant,http://www.ebi.ac.uk/efo/EFO_0004950,,,,41,,c,
"MAL-ED, 0 to 36 months",LMZ.csv,DOB,Birth date,Participant,http://www.ebi.ac.uk/efo/EFO_0004950,,,,4,,,
"MAL-ED, 0 to 36 months",micro_x.csv,dob,Birth date,Participant,http://www.ebi.ac.uk/efo/EFO_0004950,,,,92,,c,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dob,Birth date,Participant,http://www.ebi.ac.uk/efo/EFO_0004950,,,,3,,,
"MAL-ED, 0 to 36 months",zscores.csv,dob,Birth date,Participant,http://www.ebi.ac.uk/efo/EFO_0004950,,,,6,,c,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate1,Date,Observation,NA,,,,401,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dptdate1,Date,Observation,NA,,,,78,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,401,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dptdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,78,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate2,Date,Observation,NA,,,,405,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dptdate2,Date,Observation,NA,,,,81,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,405,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dptdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,81,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate3,Date,Observation,NA,,,,409,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dptdate3,Date,Observation,NA,,,,84,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,409,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dptdate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,84,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate4,Date,Observation,NA,,,,413,,,
