entity,label,displayOrder,plabel,newLabel,
http://purl.obolibrary.org/obo/EUPATH_0010599,"Adenovirus, by ELISA",,Adenovirus,,
http://purl.obolibrary.org/obo/EUPATH_0010600,Cumulative sum Adenovirus-pos stools,1,Adenovirus aggregate data,,
http://purl.obolibrary.org/obo/EUPATH_0010602,Cumulative sum Adenovirus-pos 1st monthly stools,2,Adenovirus aggregate data,,
http://purl.obolibrary.org/obo/EUPATH_0010601,Cumulative sum Adenovirus-pos 1st diarrheal stools,3,Adenovirus aggregate data,,
http://purl.obolibrary.org/obo/EUPATH_0010562,Norovirus cohort participant,1,Administrative information,,
http://purl.obolibrary.org/obo/EUPATH_0010556,Non-continuation form completed,2,Administrative information,,
http://purl.obolibrary.org/obo/EUPATH_0010603,"Aeromonas, by bacteriology",,Aeromonas,,
http://purl.obolibrary.org/obo/EUPATH_0010604,Cumulative sum Aeromonas-pos stools,1,Aeromonas aggregate data,,
http://purl.obolibrary.org/obo/EUPATH_0010606,Cumulative sum Aeromonas-pos 1st monthly stools,2,Aeromonas aggregate data,,
http://purl.obolibrary.org/obo/EUPATH_0010605,Cumulative sum Aeromonas-pos 1st diarrheal stools,3,Aeromonas aggregate data,,
http://purl.obolibrary.org/obo/EUPATH_0010891,Mean pathogen species count in stool samples,1,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010896,Mean pathogen species count in stool samples (ex NRV),2,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010894,Mean pathogen species count in 1st monthly stools,3,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010895,Mean pathogen species count in 1st monthly stools (ex NRV),4,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010892,Mean pathogen species count in 1st diarrheal stools,5,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010893,Mean pathogen species count in 1st diarrheal stools (ex NRV),6,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010916,Cumulative sum pathogen species in stool samples,7,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010920,Cumulative sum pathogen species in stool sampless (ex NRV),8,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010918,Cumulative sum pathogen species in 1st monthly stools,9,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010922,Cumulative sum pathogen species in 1st monthly stools (ex NRV),10,Aggregate organism detection data,,
http://purl.obolibrary.org/obo/EUPATH_0010917,Cumulative sum pathogen species in 1st diarrheal stools,11,Aggregate organism detection data,,
