variable,dataFile,label,IRI,displayOrder,definition,category,parentLabel,parentIRI,termType,codebookDescription,codebookValues
bf2::pid,bf2,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
whocoreallsites::pid,whocoreallsites,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
mpo_neo_ala::pid,mpo_neo_ala,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
fsq::pid,fsq,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
8sites_diet5y::pid,8sites_diet5y,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
diet::pid,diet,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
lmz::pid,lmz,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
micro_x::pid,micro_x,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
mn_blood::pid,mn_blood,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
mn_iar::pid,mn_iar,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
