overallOrder,variable,dataFile,dataSet,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,multifilter,notesForOnt
46,A_lac_exc_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose excreted (mg),,Observation,,,Adjusted mg excreted lact - recalculated based on the adjusted lactulose concentration,0.0045 to 689.1738,,
43,A_lac_mmols_per_L,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose (mmol/L),,Observation,,,Adjusted Lactulose (using the between-lab correction factor)(i.e. lab result was multipled by(  geometric mean gold standard-Mayo clinic result QC samples /  geometric mean lab result QC samples),0.0018 to 48.1063,,
48,A_lac_perexc,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose excreted (%),,Observation,,,Adjusted % excretion lact -  recalculated based on the adjusted lactuloseconcentration,0 to 18.639,,
42,A_lmr,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose/mannitol excretion ratio,,Observation,,,Adjusted LMR (using the between-lab correction factor)(i.e. lab result was multipled by(  geometric mean gold standard-Mayo clinic result QC samples /  geometric mean lab result QC samples)(QC samples were the same samples run on every platform and by the Mayo Clinic),4e-04 to 35.2029,,
45,A_man_exc_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted mannitol excreted (mg),,Observation,,,Adjusted mg excreted mann - recalculated based on the adjusted mannitol concentration,0.0115 to 602.1365,,
44,A_man_mmols_per_L,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted mannitol (mmol/L),,Observation,,,Adjusted Mannitol (using the between-lab correction factor)(i.e. lab result was multipled by(  geometric mean gold standard-Mayo clinic result QC samples /  geometric mean lab result QC samples),0.0057 to 278.9627,,
47,A_man_perexc,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted mannitol excreted (%),,Observation,,,Adjusted % excretion mann recalculated based on the adjusted mannitol concentration,0.001 to 71.683,,
221,adjfar,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Adjusted blood ferritin (ng/mL),,Observation,,,adjusted ferritin concentration.  If highagp=1 then adjfar = FARVAL1/1.16; otherwise adjfar=FARVAL1,0 to 944.6,,Ignore for now. Same as variable in mn_blood_iar_24m.csv
218,adjrar,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Adjusted blood retinol (mg/dL),,Observation,,,NA,0.3 to 66.9,,Ignore for now. Probably same as what's in mn_blood_iar_24m.csv
224,adjtfr,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Blood soluble transferrin receptor (mg/L),,Observation,,,NA,0.1 to 42,,Ignore for now. Probably same as what's in mn_blood_iar_24m.csv
225,adjtfrcat,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Blood soluble transferrin receptor level,,Observation,,,NA,1 to 3,,Ignore for now. Probably same as what's in mn_blood_iar_24m.csv
215,adjzinc_mml,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Adjusted blood zinc (umol/L),,Observation,,,NA,0 to 88.8,,Ignore for now. Probably same as what's in mn_blood_iar_24m.csv
197,age_measles,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at suspected measles infection,,Observation,,,age at (suspected) measles infection (captured from text fields on REF),115 to 907,,
199,age_pertussis,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at suspected pertussis infection,,Observation,,,age at (suspected) pertussis infection (captured from text fields on REF),60 to 525,,
16,agedays,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age (days),,Observation,,,age in days,199 to 790,,
202,AGPVAL1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Blood alpha-1-acid glycoprotein (mg/dL),,Observation,,,AGP Value (mg/dl),1 to 371,,Ignore for now. Probably same as what's in mn_blood_iar_24m.csv
211,anemia,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Anemia (hemoglobin less than 11g/dL),,Observation,,,1= hb_adj <11; 0= hb_adj>=11,0 to 1,,Ignore for now. Same as variable in mn_blood_iar_24m.csv
423,bcgaged1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 1st dose of BCG vaccine,0 to 191,,
190,bcgaged1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,NA,0 to 191,,
427,bcgaged2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 2nd dose of BCG vaccine,32 to 613,,
193,bcgaged2,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,NA,32 to 613,,
422,bcgdate1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 1st dose of BCG vaccine,2009-10-20 to 2012-03-29,,
189,bcgdate1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,NA,2009-10-20 to 2012-03-29,,
