displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType
1,,,http://purl.obolibrary.org/obo/NCBITaxon_10508,Adenovirus,,Sample,Virus,http://purl.obolibrary.org/obo/NCBITaxon_10239,,,category
19,,,http://purl.obolibrary.org/obo/EUPATH_0011837,Adenovirus aggregate data,,Sample,Virus detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011832,,,category
8,,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category
1,,,http://purl.obolibrary.org/obo/NCBITaxon_642,Aeromonas,,Sample,Bacteria,http://purl.obolibrary.org/obo/NCBITaxon_2,,,category
11,,,http://purl.obolibrary.org/obo/EUPATH_0011754,Aeromonas aggregate data,,Sample,Bacteria detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011760,,,category
7,,,http://purl.obolibrary.org/obo/EUPATH_0010983,Aggregate organism detection data,,Sample,Stool microbiology test,http://purl.obolibrary.org/obo/EUPATH_0000724,,,category
3,,,http://purl.obolibrary.org/obo/EUPATH_0020004,Aggregated illness data,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category
5,,,http://purl.obolibrary.org/obo/EUPATH_0011471,Aggregated vaccination data,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category
6,,,http://purl.obolibrary.org/obo/EUPATH_0011756,ALRI episodes,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
1,,,http://purl.obolibrary.org/obo/NCBITaxon_33277,Ancylostomatoidea,,Sample,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,category
3,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
1,,,http://purl.obolibrary.org/obo/EUPATH_0011880,Antibiotic administration,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,category
1,,,http://purl.obolibrary.org/obo/EUPATH_0011480,Antibodies,,Sample,Blood antibody test,http://purl.obolibrary.org/obo/EUPATH_0011481,,,category
2,,,http://purl.obolibrary.org/obo/NCBITaxon_6252,Ascaris lumbricoides,,Sample,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,category
16,,,http://purl.obolibrary.org/obo/EUPATH_0011758,Ascaris lumbricoides aggregate data,,Sample,Eukaryote detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011810,,,category
2,,,http://purl.obolibrary.org/obo/NCBITaxon_39733,Astrovirus,,Sample,Virus,http://purl.obolibrary.org/obo/NCBITaxon_10239,,,category
20,,,http://purl.obolibrary.org/obo/EUPATH_0011759,Astrovirus aggregate data,,Sample,Virus detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011832,,,category
19,,,http://purl.obolibrary.org/obo/EUPATH_0011760,Bacteria detection aggregate data,,Sample,Aggregate organism detection data,http://purl.obolibrary.org/obo/EUPATH_0010983,,,category
3,,,http://purl.obolibrary.org/obo/EUPATH_0011761,Bacteriology,,Sample,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,,,category
3,,,http://purl.obolibrary.org/obo/NCBITaxon_71585,Balantidium coli,,Sample,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,category
17,,,http://purl.obolibrary.org/obo/EUPATH_0011762,Balantidium coli aggregate data,,Sample,Eukaryote detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011810,,,category
5,,,http://purl.obolibrary.org/obo/EUPATH_0011481,Blood antibody test,,Sample,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,category
4,,,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,category
5,,,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,,Sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,,,category
4,,,http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test,,Sample,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,category
14,,,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
1,,,http://purl.obolibrary.org/obo/EUPATH_0011690,Breastfeeding summary,,Participant,Feeding,http://purl.obolibrary.org/obo/EUPATH_0000678,,,category
1,,,http://purl.obolibrary.org/obo/EUPATH_0011734,Calories,,Observation,Daily consumption,http://purl.obolibrary.org/obo/EUPATH_0011740,,,category
2,,,http://purl.obolibrary.org/obo/NCBITaxon_194,Campylobacter,,Sample,Bacteria,http://purl.obolibrary.org/obo/NCBITaxon_2,,,category
12,,,http://purl.obolibrary.org/obo/EUPATH_0011763,Campylobacter aggregate data,,Sample,Bacteria detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011760,,,category
4,,,http://purl.obolibrary.org/obo/NCBITaxon_472572,Chilomastix mesnili,,Sample,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,category
18,,,http://purl.obolibrary.org/obo/EUPATH_0011764,Chilomastix mesnili aggregate data,,Sample,Eukaryote detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011810,,,category
5,,,http://purl.obolibrary.org/obo/EUPATH_0011765,Complete testing of diarrheal stool samples,,Sample,Complete testing of stool samples,http://purl.obolibrary.org/obo/EUPATH_0011766,,,category
4,,,http://purl.obolibrary.org/obo/EUPATH_0011852,Complete testing of monthly stool samples,,Sample,Complete testing of stool samples,http://purl.obolibrary.org/obo/EUPATH_0011766,,,category
1,,,http://purl.obolibrary.org/obo/EUPATH_0011766,Complete testing of stool samples,,Sample,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,,,category
5,,,http://purl.obolibrary.org/obo/NCBITaxon_5806,Cryptosporidium,,Sample,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,category
19,,,http://purl.obolibrary.org/obo/EUPATH_0011767,Cryptosporidium aggregate data,,Sample,Eukaryote detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011810,,,category
6,,,http://purl.obolibrary.org/obo/NCBITaxon_44417,Cyclospora,,Sample,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,category
20,,,http://purl.obolibrary.org/obo/EUPATH_0011768,Cyclospora aggregate data,,Sample,Eukaryote detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011810,,,category
15,,,http://purl.obolibrary.org/obo/EUPATH_0011740,Daily consumption,,Observation,Diet,http://purl.obolibrary.org/obo/EUPATH_0011732,,,category
1,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category
11,,,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
9,,,http://purl.obolibrary.org/obo/EUPATH_0011750,Diarrheal episode severity,,Observation,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,,,category
5,,,http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episodes,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
10,,,http://purl.obolibrary.org/obo/EUPATH_0011769,Diarrheal stool samples,,Sample,Stool sample,http://purl.obolibrary.org/obo/EUPATH_0011877,,,category
15,,,http://purl.obolibrary.org/obo/EUPATH_0011732,Diet,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
5,,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
4,,,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
7,,,http://purl.obolibrary.org/obo/NCBITaxon_110788,Endolimax nana,,Sample,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,category
21,,,http://purl.obolibrary.org/obo/EUPATH_0011771,Endolimax nana aggregate data,,Sample,Eukaryote detection aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011810,,,category
8,,,http://purl.obolibrary.org/obo/NCBITaxon_110766,Entamoeba coli,,Sample,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,category
