BSdich	BSdich	NA	:::UNDEF:::
abdominalpain	abdominalpain	NA	:::UNDEF:::
abdominalpain	abdominalpain	cannot assess	Cannot assess
adequatellins	adequatellins	0	No
adequatellins	adequatellins	1	Yes
adequatenets	adequatenets	0	No
adequatenets	adequatenets	1	Yes
aduration	aduration	-9	:::UNDEF:::
aduration	aduration	na	:::UNDEF:::
agecat	agecat	1	<5 years
agecat	agecat	2	5-15 years
agecat	agecat	3	16 years or older
amchwker	amchwker	N/A	Not applicable
anemia10	anemia10	0	No
anemia10	anemia10	1	Yes
anemia10	anemia10	na	:::UNDEF:::
anorexia	anorexia	NA	:::UNDEF:::
anorexia	anorexia	cannot assess	Cannot assess
antimalarial1	antimalarial1	-9	:::UNDEF:::
antimalarial1	antimalarial1	Al	Artemether-lumefantrine
antimalarial1	antimalarial1	AL	Artemether-lumefantrine
antimalarial1	antimalarial1	Im quinine	IM quinine
antimalarial1	antimalarial1	iv artesunate	IV artesunate
anymalaria	anymalaria	0	No
anymalaria	anymalaria	1	Yes
anynetcat	anynetcat	0	None
anynetcat	anynetcat	1	1
anynetcat	anynetcat	2	2
anynetcat	anynetcat	3	3 or more
anyoocysts	anyoocysts	na	:::UNDEF:::
apainduration	apainduration	-9	:::UNDEF:::
apainduration	apainduration	na	:::UNDEF:::
bscat	bscat	-9	:::UNDEF:::
bscat	bscat	0	Negative	1
bscat	bscat	2	(10-100] per uL blood	2
bscat	bscat	3	(100-1000] per uL blood	3
bscat	bscat	4	>1000 per uL blood	4
bscat	bscat	na	:::UNDEF:::
bsdich	bsdich	0	No
bsdich	bsdich	1	Yes
bsdich	bsdich	9	Can't assess
bsdone1	bsdone1	-9	Skipped
bsdone1	bsdone1	0	No
bsdone1	bsdone1	1	Yes
bsdone1	bsdone1	NA	:::UNDEF:::
bsdone2	bsdone2	-9	Skipped
bsdone2	bsdone2	0	No
bsdone2	bsdone2	1	Yes
bsdone2	bsdone2	NA	:::UNDEF:::
bsreading	bsreading	-9	:::UNDEF:::
bsreading	bsreading	0	Routine
bsreading	bsreading	1	Urgent
bsreading	bsreading	na	:::UNDEF:::
careoutside	careoutside	NA	:::UNDEF:::
