variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1_huas label
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=NOT IN CODEBOOK, 9=NOT IN CODEBOOK, NA=NA",,,,,159,62,61,,response values 0 & 3 & 9 not in codebook,34. Admitted for treatment of illness
admit_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35: Health care utilization. To which hospital was the child admitted (health facility code for center of 1st choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,160,63,62,,,35. Hospital admitted to 1st choice
admit_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,"0, 1",,,,,NA,79,NA,,,
admit_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35.1: Health care utilization. To which hospital was the child admitted (health facility code for center of 2nd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,161,64,63,,,35. Hospital admitted to 2nd choice
admit_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,1,,,,,NA,80,NA,,,
admit_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35.2: Health care utilization. To which hospital was the child admitted (health facility code for center of 3rd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,162,65,64,,,35. Hospital admitted to 3rd choice
admit_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,,,,,,NA,81,NA,,,
admit_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,"E35.3: Health care utilization. If the facility was not coded, specify. Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks",,,,,,163,66,65,,,35. Specify other facility not coded
advise,gems1_huas_data.sas7bdat,,,num,"E36: Health care utilization. If the child did not receive care at a hospital/health center, were you advised to take him/her to a hospital/health center. Skip if E34=yes. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E38, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,164,NA,NA,,response value 0 not in codebook,36. Advised to take child to hospital
age,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A06.1: Eligibility information. Age (months). 15 is used for missing day in birthdate,,,,,,363,7,72,,,
age_weight,gems1_huas_data.sas7bdat,,,num,,,,,,,399,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
agecat,gems1_huas_data.sas7bdat,,,num,A06.2: Eligibility information. Age category.,"1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months, 4=60+ months, 5=Interview date missing, 6=Birthdate missing or invalid, 7=<0 months",,,,,364,NA,NA,,,Child's age stratum from birthdate
agegender,gems1_huas_data.sas7bdat,,,num,A06.3: Eligibility information. Age/gender category.,"1=Male, 0-11 months, 2=Female, 0-11 months, 3=Male, 12-23 months, 4=Female, 12-23 months, 5=Male, 24-59 months, 6=Female, 24-59 months, 99=Missing/error",,,,,366,NA,NA,,,
agestratum,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",,,num,A01: Eligibility information. Child's age stratum (in months) according to the census.,"0=NOT IN CODEBOOK, 1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months",,,,,11,NA,77,,response value 0 not in codebook,1. Child's age stratum
agree_doc,gems1_huas_data.sas7bdat,,,num,"G49: Health care attitudes. If a doctor or nurse recommended that you take your child for care at the nearest sentinel health center (specify which one), would you be likely to agree to do this. Section G: skip for children who had diarrhea in the last 2 weeks. If yes, go to G51. If no, continue.","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,293,NA,NA,,response value 0 not in codebook,49. Recommended care/likely to agree
anydiarhea,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,415,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
aswt,gems1_huas_lite_data_6_sites.sas7bdat,Discard,,num,,,,,,,NA,83,NA,,variable not in HUAS codebook (CRF01 HUAS),
brth_da,gems1_huas_data.sas7bdat,,,num,A06.6: Eligibility information. Day of birth.,,,,,,19,NA,NA,,,6. Calculated Birth Day
brth_date,gems1_huas_data.sas7bdat,,,date,"A06: Eligibility information. Birth date of the child. Use ""00"" for day if unknown",,,,,,17,NA,NA,,,6. Calculated Birth Date
brth_date_str,gems1_huas_data.sas7bdat,,,chr,,,,,,,16,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),6. Birth date of child
brth_mo,gems1_huas_data.sas7bdat,,,num,A06.5: Eligibility information. Month of birth.,,,,,,18,NA,NA,,,6. Calculated Birth Month
brth_yr,gems1_huas_data.sas7bdat,,,num,A06.4: Eligibility information. Year of birth.,3=free text,,,,,20,NA,NA,,,6. Calculated Birth Year
care,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2, 3",,,,,NA,NA,81,,variable not in HUAS codebook (CRF01 HUAS),
