codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,JZ cmments,
29,1,,childid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Participant ID ,http://purl.obolibrary.org/obo/EUPATH_0000095,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,1. Child ID.,,,,
333,2,,visitdate,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Visit date ,http://purl.obolibrary.org/obo/EUPATH_0000091,,,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,2. Date of intervew.,,,Mapped term is more general. Do we want to add a specific term for it?,
302,3,,site,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Country ,http://purl.obolibrary.org/obo/OBI_0001627,,,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,3. Site.,"1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan",,,
13,4,,agestratum,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",Age group ,http://purl.obolibrary.org/obo/EUPATH_0010367,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,A01: Eligibility information. Child's age stratum (in months) according to the census.,"0=NOT IN CODEBOOK, 1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months",,,
34,5,,consent,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Consent for enrollment given ,http://purl.obolibrary.org/obo/EUPATH_0010420,,,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,"A03: Eligibility information. Was consent given by the parent, primary caretaker, or guardian. If ""refused"" or ""not available after 3 attempts, stop here","1=Yes, 2=Refused, 3=Not available after 3 attempts",,,
228,6,,primcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Caretaker relationship to participant ,http://purl.obolibrary.org/obo/EUPATH_0000720,,,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,"A04: Eligibility information. Are you a primary caretaker of the child. If ""no"", ask if a primary caretaker is available. If not available, make an appointment for a return visit.","1=No, 2=Yes",,,
119,7,,gender,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Sex ,http://purl.obolibrary.org/obo/PATO_0000047,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,A05: Eligibility information. Is the child a boy or girl.,"0=NOT IN CODEBOOK, 1=Boy, 2=Girl",,,
17,8,,brth_date,gems1_huas_data.sas7bdat,Birth date ,http://www.ebi.ac.uk/efo/EFO_0004950,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,"A06: Eligibility information. Birth date of the child. Use ""00"" for day if unknown",,,,
9,9,,age,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Age (months) ,http://purl.obolibrary.org/obo/EUPATH_0015400,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,A06.1: Eligibility information. Age (months). 15 is used for missing day in birthdate,,,,
11,10,,agecat,gems1_huas_data.sas7bdat,Age group ,http://purl.obolibrary.org/obo/EUPATH_0010367,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,A06.2: Eligibility information. Age category.,"1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months, 4=60+ months, 5=Interview date missing, 6=Birthdate missing or invalid, 7=<0 months",,,
12,11,,agegender,gems1_huas_data.sas7bdat,,,,,,,A06.3: Eligibility information. Age/gender category.,"1=Male, 0-11 months, 2=Female, 0-11 months, 3=Male, 12-23 months, 4=Female, 12-23 months, 5=Male, 24-59 months, 6=Female, 24-59 months, 99=Missing/error",Drop?,,
20,12,,brth_yr,gems1_huas_data.sas7bdat,Birth year ,http://purl.obolibrary.org/obo/EUPATH_0030005,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,A06.4: Eligibility information. Year of birth.,3=free text,,,
19,13,,brth_mo,gems1_huas_data.sas7bdat,Birth month,http://www.ebi.ac.uk/efo/EFO_0004950,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,A06.5: Eligibility information. Month of birth.,,,"6.4 - 6.6 make the birth date, or create new ontology term????",
16,14,,brth_da,gems1_huas_data.sas7bdat,Birth day,http://www.ebi.ac.uk/efo/EFO_0004950,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,A06.6: Eligibility information. Day of birth.,,,"6.4 - 6.6 make the birth date, or create new ontology term????",
304,15,,status,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Interview status,,,,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,A07: Eligibility information. Status of interview.,"1=Conducted, 2=Not conducted",,,
270,16,,relation,gems1_huas_data.sas7bdat,Interviewee relationship to participant ,http://purl.obolibrary.org/obo/EUPATH_0010123,,,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,B08: Household information. What is your relationship to the child.,"1=Mother, 10=Other relation by blood or marriage, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation",,,
174,17,,mom_live,gems1_huas_data.sas7bdat,Mothers residence ,http://purl.obolibrary.org/obo/EUPATH_0010127,,,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,B09: Household information. Where does the child's mother live.,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",,,
53,18,,dad_live,gems1_huas_data.sas7bdat,Father's residence ,http://purl.obolibrary.org/obo/EUPATH_0000676,,,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,B10: Household information. Where does the child's father live.,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",,,
226,19,,prim_schl,gems1_huas_data.sas7bdat,Primary caretakers education level ,http://purl.obolibrary.org/obo/EUPATH_0010129,,,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,B11: Household information. How far did you (the primary caretaker) go in school.,"1=No formal schooling, 2=Less than primary, 3=Completed primary, 4=Post-secondary, 5=Completed secondary, 6=Religious education only, NA=NA",,,
214,20,,ppl_house,gems1_huas_data.sas7bdat,Persons living in house ,http://purl.obolibrary.org/obo/EUPATH_0000019,,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,B12: Household information. How many people have been living regularly in your household for the past 6 months.,,,,
303,21,,slp_rooms,gems1_huas_data.sas7bdat,Sleeping rooms in dwelling ,http://purl.obolibrary.org/obo/EUPATH_0000025,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,B13: Household information. How many rooms in your household are used for sleeping.,,,,
340,22,,yng_chldrn,gems1_huas_data.sas7bdat,Children under 60 months in dwelling ,http://purl.obolibrary.org/obo/EUPATH_0010232,,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,B14: Household information. How many children younger than 60 months live in this household.,,,,
227,23,,prim_young,gems1_huas_data.sas7bdat,Children under 60 months under interviewees care,,,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,B15: Household information. How many children younger than 60 months in this household are under your primary care.,,,,
118,24,,floor,gems1_huas_data.sas7bdat,Floor material ,http://purl.obolibrary.org/obo/EUPATH_0000006,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B16: Household information. What is the predominant floor inside the house.,"1=Earth/sand, 10=Carpet, 2=Dung, 3=Other, specify, 4=Wood planks, 5=Palm/bamboo, 6=Parquet or polished wood, 7=Vinyl or asphalt strips, 8=Ceramic tile, 9=Cement",,,
150,25,,house_bike,gems1_huas_data.sas7bdat,Bicycle or rickshaw ,http://purl.obolibrary.org/obo/EUPATH_0015001,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
151,26,,house_boat,gems1_huas_data.sas7bdat,Boat with a motor ,http://purl.obolibrary.org/obo/EUPATH_0000179,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
152,27,,house_car,gems1_huas_data.sas7bdat,Car or truck ,http://purl.obolibrary.org/obo/EUPATH_0000171,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A car or truck. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
158,28,,house_scoot,gems1_huas_data.sas7bdat,Motorcycle or scooter ,http://purl.obolibrary.org/obo/ENVO_01000615,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A motorcycle or scooter. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
157,29,,house_radio,gems1_huas_data.sas7bdat,Radio ,http://purl.obolibrary.org/obo/ENVO_01000577,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A radio. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
154,30,,house_fridge,gems1_huas_data.sas7bdat,Refrigerator ,http://purl.obolibrary.org/obo/ENVO_01000583,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A refrigerator. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
156,31,,house_phone,gems1_huas_data.sas7bdat,Telephone (mobile or non-mobile) ,http://purl.obolibrary.org/obo/ENVO_01000580,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A telephone (mobile or non-mobile). Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
159,32,,house_tele,gems1_huas_data.sas7bdat,Television ,http://purl.obolibrary.org/obo/ENVO_01000579,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A television. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
153,33,,house_elec,gems1_huas_data.sas7bdat,Electricity ,http://purl.obolibrary.org/obo/EUPATH_0021084,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  Electricity. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,
