"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
"3","st3participantsample_data_2022-01-10_1509::redcap_repeat_instance","st3participantsample_data_2022-01-10_1509","BFO_0000015","'Observation type","","Participant","","","","","variable","","yes","","","India ICEMR DAMaN","","","yes","","","","","",""
"7","st3participantsample_data_2022-01-10_1509::visdat","st3participantsample_data_2022-01-10_1509","OBI_0001619","'Sample collection date","","Sample","","","4. Date of interview","","variable","","","","","India ICEMR DAMaN","","","yes","","","","","",""
"8","st3participantsample_data_2022-01-10_1509::rdt_yn","st3participantsample_data_2022-01-10_1509","EUPATH_0027004","'RDT performed","","Sample","","","A1. Was an RDT done?","","variable","","","","","India ICEMR DAMaN","","","","","","","","",""
"9","st3participantsample_data_2022-01-10_1509::rdt_rad","st3participantsample_data_2022-01-10_1509","EUPATH_0021306","'Plasmodium species, by RDT","","Sample","","","A1.1. RDT result","0, Negative | 1, Pf | 2, Pv | 3, Pf + Pv","variable","","","","","India ICEMR DAMaN","","","yes","","","","","",""
"10","st3participantsample_data_2022-01-10_1509::hgb_yn","st3participantsample_data_2022-01-10_1509","EUPATH_0027005","'Hemoglobin measurement performed","","Sample","","","A2. Was hemoglobin measured?","","variable","","","","","India ICEMR DAMaN","","","","","","","","",""
"11","st3participantsample_data_2022-01-10_1509::hgb","st3participantsample_data_2022-01-10_1509","EUPATH_0000047","Hemoglobin","","Sample","","","A2.1  Hemoglobin (g/dl)","","variable","","","","","India ICEMR DAMaN","","","","","","","","",""
"12","st3participantsample_data_2022-01-10_1509::samplefilt_rad","st3participantsample_data_2022-01-10_1509","EUPATH_0000127","'Filter paper sample","","Sample","","","B1. Blood spot","1, Yes | 0, No","value","","","","","India ICEMR DAMaN","","","","","","","","",""
"13","st3participantsample_data_2022-01-10_1509::samplesmear_rad","st3participantsample_data_2022-01-10_1509","EUPATH_0021081","'Blood smear sample","","Sample","","","B2. Blood smear","1, Yes | 0, No","value","","","","","India ICEMR DAMaN","","","","","","","","",""
"14","st3participantsample_data_2022-01-10_1509::samplevette_rad","st3participantsample_data_2022-01-10_1509","EUPATH_0021082","'Microvette sample","","Sample","","","B3. Microvette","1, Yes | 0, No","value","","","","","India ICEMR DAMaN","","","","","","","","",""
"15","st3participantsample_data_2022-01-10_1509::samplevac_rad","st3participantsample_data_2022-01-10_1509","EUPATH_0021083","'Vacutainer sample","","Sample","","","B4. Vacutainer","1, Yes | 0, No","value","","","","","India ICEMR DAMaN","","","","","","","","",""
"3","st3questionnaire_data_2022-01-10_1508::redcap_repeat_instance","st3questionnaire_data_2022-01-10_1508","BFO_0000015","'Observation type","","Participant","","","","","variable","","yes","","","India ICEMR DAMaN","","","","","","","","",""
"9","st3questionnaire_data_2022-01-10_1508::age","st3questionnaire_data_2022-01-10_1508","OBI_0001169","Age","","Participant","","","A1. How old are you (is this child)?","","variable","","yes","","","India ICEMR DAMaN","years","UO_0000036","yes","","","","","",""
"10","st3questionnaire_data_2022-01-10_1508::relatetochild_rad","st3questionnaire_data_2022-01-10_1508","EUPATH_0010123","'Interviewee's relationship to participant","","Participant","","","A2. What is your relationship to this child?","1, Self | 2, Parent | 3, Grandparent | 4, Aunt or uncle | 5, Brother or sister | 6, Other","variable","","yes","","","India ICEMR DAMaN","","","","","","","","",""
"11","st3questionnaire_data_2022-01-10_1508::relatetochildother","st3questionnaire_data_2022-01-10_1508","EUPATH_0010123","'Interviewee's relationship to participant","","Participant","","","A2.1 Specify other relationship","","variable","","yes","","","India ICEMR DAMaN","","","","","","","","",""
"12","st3questionnaire_data_2022-01-10_1508::occupantsnum","st3questionnaire_data_2022-01-10_1508","EUPATH_0000019","'Persons living in house count","Number of people in household","Household","","","A3. How many people are in your household?","","variable","","yes","","","India ICEMR DAMaN","","","","","","","","",""
"13","st3questionnaire_data_2022-01-10_1508::respondentsex","st3questionnaire_data_2022-01-10_1508","PATO_0000047","Sex","","Participant","","","A4. Are you (Is this child) male, or female?","1, Male | 2, Female | 88, DK | 99, Refused","variable","","","","","India ICEMR DAMaN","","","","","","","","",""
