colOrder,variable,IRI,label,definition,parentIRI,parentLabel,category,dataset,codebookDescription,notesForOnt,values,multifilter,duplicated,notesForDL,,
1,hh_number,EUPATH_0000094,Household ID,,EUPATH_0000307,Participant study details,Participant,Household,,,,,,,,
2,today,EUPATH_0021085,Household data collection date,,PCO_0000024,Household,Household,Household,,,,,,,,
3,icemr_site,EUPATH_0021094,Study site,,GAZ_00000448,Geographic location,Household,Household,,,"1	Choma District
2	Nchelenge District
3	Mutasa District",,,,,
4,hh_type,OBI_0500000,Study design,,,,Study design,Household,,,"1	cross-sectional
2	longitudinal",,,,,
5,mv_same_location,,Always stay at location,Does the family always reside at this location,,Household relocation,Household,Household,Has your family always lived at this location?,,binary,,,,,
6,mv_location_yrs,,Time at current location (years),"If the family does not always reside at this location, the number of years they have lived there",,Household relocation,Household,Household,"If not, how long has your family lived here?",,,,,,,
7,mv_location_mon,,Time at current location (months),"If the family does not always reside at this location, the number of years they have lived there",,Household relocation,Household,Household,"If not, how long has your family lived here?",,,,,,,
8,mv_regularly_move,,Move regularly,Does the family regularly move to another location during the year,,Household relocation,Household,Household,Does your family regularly move to another location during the year?,,binary,,,,,
9,mv_leave_month,,Normal month to move out,What month does the family usually leave the current location,,Household relocation,Household,Household,What month does your family usually leave this location?,,"0	please select
1	Jan
2	Feb
3	Mar
4	Apr
5	May
6	Jun
7	Jul
8	Aug
9	Sep
10	Oct
11	Nov
12	Dec",,,,,
10,mv_return_month,,Normal month to return,What month does the family normally return to the current location,,Household relocation,Household,Household,What month does your family usually return to this location?,,"0	please select
1	Jan
2	Feb
3	Mar
4	Apr
5	May
6	Jun
7	Jul
8	Aug
9	Sep
10	Oct
11	Nov
12	Dec",,,,,
11,mv_reason___1,,Farming,,,Reason for moving,Household,Household,What is the reason for moving,,binary,value,,,,
12,mv_reason___2,,Fishing,,,Reason for moving,Household,Household,What is the reason for moving,,binary,value,,,,
13,mv_reason___3,,Work on tea plantation,,,Reason for moving,Household,Household,What is the reason for moving,,binary,value,,,,
14,mv_reason___4,,Other work,,,Reason for moving,Household,Household,What is the reason for moving,,binary,value,,,,
15,mv_reason___5,,Other (specify),,,Reason for moving,Household,Household,What is the reason for moving,,binary,value,,,,
,,,Reason for moving,The family moves due to ,,Household relocation,Household,,,,,yes,,,,
,,,Household movement,,PCO_0000024,Household,Household,,,,,,,,,
16,mv_visitors,,Visitor in last 4 weeks,Visitor stayed in household at least one night in the past 4 weeks,PCO_0000024,Household,Household,Household,Have visitors stayed at least one night in your home during the past 4 weeks?,,binary,,,,,
17,part_id,EUPATH_0000095,Participant ID,,EUPATH_0000307,Participant study details,Participant,Household member,,,,,,,,
18,today,EUPATH_0004991,Observation date,,EUPATH_0000310,Observation details,Observation,Household member,,,,,,,,
19,age_years,OBI_0001169,Age at visit (years),Age in years,EUPATH_0000310,Observation details,Observation,Household member,Age - years,,,,,,,
20,age_months,OBI_0001169,Age at visit (months),Age in months in addition to Age at visit (years) if the participant is less than 5 years old,EUPATH_0000310,Observation details,Observation,Household member,"Age - months (In addition to the years listed. Enter ONLY if child is < 5 years old) Months entered should be in addition to years. For example: 3 YEARS, 9 MONTHS",,,,,,,
21,gender,PATO_0000047,Sex,,EUPATH_0000096,Participant,Participant,Household member,,,"1	male
2	female",,,,,
22,reside_diff_home,,Reside in multiple homes,Does the participant reside in another home during part of the year,,Relocation details,Observation,Household member,Does this person reside in another home during part of the year,,binary,,,,,
23,reside_diff_months,,Time in other home (months),Number of months the participant lives in the other home,,Relocation details,Observation,Household member,How many months does the participant live in the other home?,,,,,,,
24,reside_diff_reason,,Reason for relocation,The primary reason the participant lives in the other home,,Relocation details,Observation,Household member,What is the primary reason the participant lives in the other home?,,"1. The other home is the main home where the participant spends most of their time.
2. The other home is for farming.
3. The other home is for fishing.
Other: specify",,,,,
25,chld_relationship_to_child,EUPATH_0000720,Caretaker relationship to participant,,EUPATH_0010037,Individuals related to participant,Participant,Household member,Relationship of Caregiver to Child:,,"1	Mother
2	Father
3	Grandparent
4	Aunt or Uncle
5	Sibling
6	Other relative
7	Other",,,,,
26,chld_caregiver_id,,Caretaker ID,,EUPATH_0010037,Individuals related to participant,Participant,Household member,Caregiver Identification Number:,,,,,,,
27,mal_symptoms___1,,Fever,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Fever,,binary,value,,,,
28,mal_symptoms___2,,Headache,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Headache,,binary,value,,,,
29,mal_symptoms___3,,Chills,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Chills,,binary,value,,,,
30,mal_symptoms___4,,Vomiting,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Vomiting,,binary,value,,,,
31,mal_symptoms___5,,Diarrhea,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Diarrhea,,binary,value,,,,
32,mal_symptoms___6,,Body ache or pain,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Body ache or pain,,binary,value,,,,
33,mal_symptoms___7,,Cough,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Cough,,binary,value,,,,
34,mal_symptoms___8,,Weakness or fatigue,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Weakness or fatigue,,binary,value,,,,
35,mal_symptoms___9,,Flu-like symptoms,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Flu-like symptoms,,binary,value,,,,
36,mal_symptoms___10,,Thirst,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Thirst,,binary,value,,,,
37,mal_symptoms___11,,Loss of appetite,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Loss of appetite,,binary,value,,,,
