"variable","dataFile","codebookDescription","suggested_IRI","suggested_label","parent_in_ontology","parent_IRI","score"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0000535","IRB number","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","16.423355"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0000619","Number of treatments","Treatment","http://purl.obolibrary.org/obo/OGMS_0000090","14.593815"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0000641","Mouse number in a cage","Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000612","11.934778"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0000087","Household information","Host information","http://purl.obolibrary.org/obo/EUPATH_0000589","5.9702845"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0000094","Household ID","Household","http://purl.obolibrary.org/obo/PCO_0000024","5.9702845"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0000731","Household water","Household","http://purl.obolibrary.org/obo/PCO_0000024","5.9702845"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0011611","Household toilet","Waste disposal","http://purl.obolibrary.org/obo/EUPATH_0000596","5.9702845"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0000341","Household vector intervention","Household","http://purl.obolibrary.org/obo/PCO_0000024","5.305203"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0015467","Household observation type","Household","http://purl.obolibrary.org/obo/PCO_0000024","5.305203"
"hh_number","","Household Number","http://purl.obolibrary.org/obo/EUPATH_0000014","Household wealth index, numerical","Socioeconomic factors","http://purl.obolibrary.org/obo/EUPATH_0000304","4.7734466"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0011050","Data present today","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","8.251596"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0000091","Visit date","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","5.2045197"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0000150","Death date","Death information","http://purl.obolibrary.org/obo/EUPATH_0000671","5.2045197"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0000151","Enrollment date","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","5.2045197"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","5.2045197"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0010319","Rehydration date","Rehydration therapy","http://purl.obolibrary.org/obo/EUPATH_0010024","5.2045197"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0015440","Registration date","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","5.2045197"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0015458","Test date","Stool microbiology test","http://purl.obolibrary.org/obo/EUPATH_0000724","5.2045197"
"today","","Date ","http://purl.obolibrary.org/obo/EUPATH_0020003","Collection date","Entomological measurements","http://purl.obolibrary.org/obo/EUPATH_0000327","5.2045197"
"today","","Date ","http://www.ebi.ac.uk/efo/EFO_0004950","Birth date","Demographics; Participant","http://purl.obolibrary.org/obo/EUPATH_0010981; http://purl.obolibrary.org/obo/EUPATH_0000096","5.2045197"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/EUPATH_0021094","Study site","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","24.095287"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/EUPATH_0000543","ICEMR","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","21.23409"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/UBERON_0000061","Host body site","Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000612","15.352054"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/EUPATH_0000639","Study group","Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000612","6.818639"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/EUPATH_0010047","Study center","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","6.818639"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/EUPATH_0010374","Study year","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","6.818639"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/EUPATH_0015457","Study arm","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","6.818639"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/OBI_0500000","Study design","Sample collection","http://purl.obolibrary.org/obo/OBI_0000659","6.818639"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/EUPATH_0000307","Participant study details","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","6.0590515"
"icemr_site","","ICEMR Study Site","http://purl.obolibrary.org/obo/EUPATH_0021104","Study completion status","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","6.0590515"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/EUPATH_0015467","Household observation type","Household","http://purl.obolibrary.org/obo/PCO_0000024","15.607838"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/EUPATH_0000545","Type of RDT","Parasite detection","http://purl.obolibrary.org/obo/EUPATH_0000538","14.485645"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/EUPATH_0011744","Household toilet facility type","Waste disposal","http://purl.obolibrary.org/obo/EUPATH_0000596","14.043417"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/EUPATH_0000411","Type of existing illness","Immediate clinical history","http://purl.obolibrary.org/obo/EUPATH_0021098","13.033707"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/BFO_0000015","Observation type","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","11.594214"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/ENVO_01000744","Dwelling type","Dwelling characteristics","http://purl.obolibrary.org/obo/EUPATH_0000303","11.594214"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/EUPATH_0000049","Visit type","Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000612","11.594214"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/EUPATH_0000311","Visit type","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","11.594214"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/EUPATH_0000514","Collection type","Sample collection","http://purl.obolibrary.org/obo/OBI_0000659","11.594214"
"hh_type","","Select the type of household for this study:","http://purl.obolibrary.org/obo/EUPATH_0010869","Stool type","Stool sample","http://purl.obolibrary.org/obo/EUPATH_0011877","11.594214"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/EUPATH_0000493","Family ID","Household information","http://purl.obolibrary.org/obo/EUPATH_0000087","7.6385612"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/EUPATH_0000588","Family move","Household information","http://purl.obolibrary.org/obo/EUPATH_0000087","7.6385612"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/EUPATH_0000727","Family income","Income","http://purl.obolibrary.org/obo/EUPATH_0011680","7.6385612"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/EUPATH_0000381","Kitchen location","Dwelling characteristics","http://purl.obolibrary.org/obo/EUPATH_0000303","7.4267364"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/EUPATH_0000530","GPS location","Sample collection location","http://purl.obolibrary.org/obo/EUPATH_0000542","7.4267364"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","Sample source; Household; Sample collection location","http://purl.obolibrary.org/obo/EUPATH_0000611; http://purl.obolibrary.org/obo/PCO_0000024; http://purl.obolibrary.org/obo/EUPATH_0000542","7.4267364"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/ERO_0002033","Host family relationship","Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000612","6.787636"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/EUPATH_0000413","Fever treatment location","Immediate clinical history","http://purl.obolibrary.org/obo/EUPATH_0021098","6.599408"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/EUPATH_0000542","Sample collection location","Sample collection","http://purl.obolibrary.org/obo/OBI_0000659","6.599408"
"mv_same_location","","1.0 Has your family always lived at this location?","http://purl.obolibrary.org/obo/EUPATH_0010112","Hand washing location","Hygiene","http://purl.obolibrary.org/obo/EUPATH_0000686","6.599408"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/EUPATH_0021020","Long-lasting ITN","Personal bednet treatment","http://purl.obolibrary.org/obo/EUPATH_0000344","7.676027"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/EUPATH_0000493","Family ID","Household information","http://purl.obolibrary.org/obo/EUPATH_0000087","7.6385612"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/EUPATH_0000588","Family move","Household information","http://purl.obolibrary.org/obo/EUPATH_0000087","7.6385612"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/EUPATH_0000727","Family income","Income","http://purl.obolibrary.org/obo/EUPATH_0011680","7.6385612"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/EUPATH_0000381","Kitchen location","Dwelling characteristics","http://purl.obolibrary.org/obo/EUPATH_0000303","7.4267364"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/EUPATH_0000530","GPS location","Sample collection location","http://purl.obolibrary.org/obo/EUPATH_0000542","7.4267364"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","Sample source; Household; Sample collection location","http://purl.obolibrary.org/obo/EUPATH_0000611; http://purl.obolibrary.org/obo/PCO_0000024; http://purl.obolibrary.org/obo/EUPATH_0000542","7.4267364"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/ERO_0002033","Host family relationship","Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000612","6.787636"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/EUPATH_0010857","1st sample ID if recollection","Sample","http://purl.obolibrary.org/obo/EUPATH_0000609","6.7481313"
"mv_location_yrs","","1.1 If not, how long has your family lived here? Years","http://purl.obolibrary.org/obo/EUPATH_0000413","Fever treatment location","Immediate clinical history","http://purl.obolibrary.org/obo/EUPATH_0021098","6.599408"
"mv_location_mon","","MONTHS","http://purl.obolibrary.org/obo/EUPATH_0000381","Kitchen location","Dwelling characteristics","http://purl.obolibrary.org/obo/EUPATH_0000303","7.4267364"
"mv_location_mon","","MONTHS","http://purl.obolibrary.org/obo/EUPATH_0000530","GPS location","Sample collection location","http://purl.obolibrary.org/obo/EUPATH_0000542","7.4267364"
"mv_location_mon","","MONTHS","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","Sample source; Household; Sample collection location","http://purl.obolibrary.org/obo/EUPATH_0000611; http://purl.obolibrary.org/obo/PCO_0000024; http://purl.obolibrary.org/obo/EUPATH_0000542","7.4267364"
