variable,dataset,keepDiscard,notesForDL,values,codebookDescription,,
hh_number,Household,Keep,,,Household Number,,
today,Household,Keep,,,Date ,,
icemr_site,Household,Keep,,,ICEMR Study Site,,
hh_type,Household,Keep,,,Select the type of household for this study:,,
house_found,Household,Discard,,,Was the household found?,,
backup_hh,Household,Discard,,,Is this a backup household that replaces a non-household?,,
replaces_hh_number,Household,Discard,,,This household replaces household number,,
hh_not_exist,Household,Discard,,,"If the household does not exist, indicate why:",,
structure_type,Household,Discard,,,Specify what the structure is:,,
refusal_reason,Household,Discard,,,Reason for refusal,,
mv_same_location,Household,Keep,,binary,1.0 Has your family always lived at this location?,,
mv_location_yrs,Household,Keep,,,"1.1 If not, how long has your family lived here? Years",,
mv_location_mon,Household,Keep,,,MONTHS,,
mv_regularly_move,Household,Keep,,,2.0 Does your family regularly move to another location during the year?,,
mv_leave_month,Household,Keep,,,2.1 What month does your family usually leave this location?,,
mv_return_month,Household,Keep,,,2.2 What month does your family usually return to this location?,,
mv_reason___1,Household,Keep,,binary,2.3 What is the reason for moving? (Mark all responses)1. Farming,,
mv_reason___2,Household,Keep,,binary,2.3 What is the reason for moving? (Mark all responses)2. Fishing,,
mv_reason___3,Household,Keep,,binary,2.3 What is the reason for moving? (Mark all responses)3. Work on tea plantations,,
mv_reason___4,Household,Keep,,binary,2.3 What is the reason for moving? (Mark all responses)4. Other work,,
mv_reason___5,Household,Keep,,binary,2.3 What is the reason for moving? (Mark all responses)5. Other: specify,,
mv_visitors,Household,Keep,,binary,3.0 Have visitors stayed at least one night in your home during the past 4 weeks?,,
part_id,Household member,Keep,,,Participant ID,,
hh_number,Household member,Keep,,,Household Number,,
hh_type,Household member,Keep,,,Select the type of household for this study:,,
today,Household member,Keep,,,Date of data collection,,
age_years,Household member,Keep,,,Age - years,,
age_months,Household member,Keep,,,"Age - months (In addition to the years listed. Enter ONLY if child is < 5 years old) Months entered should be in addition to years. For example: 3 YEARS, 9 MONTHS",,
gender,Household member,Keep,,,Sex,,
is_participating,Household member,Discard,,,Is this person participating in the study today?,,
reason_no_part,Household member,Discard,,,Reason person is not participating,,
reside_diff_home,Household member,Keep,,,Does this person reside in another home during part of the year?,,
reside_diff_months,Household member,Keep,,,Section Header: Other home How many months does the participant live in the other home? MONTHS,,
reside_diff_reason,Household member,Keep,,,What is the primary reason the participant lives in the other home?,,
chld_relationship_to_child,Household member,Keep,,,Relationship of Caregiver to Child:,,
chld_caregiver_id,Household member,Keep,,,Caregiver Identification Number:,,
mal_symptoms___1,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Fever,,
mal_symptoms___2,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Headache,,
mal_symptoms___3,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Chills,,
mal_symptoms___4,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Vomiting,,
mal_symptoms___5,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Diarrhea,,
mal_symptoms___6,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Body ache or pain,,
mal_symptoms___7,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Cough,,
mal_symptoms___8,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Weakness or fatigue,,
mal_symptoms___9,Household member,Keep,,binary,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Flu-like symptoms,,
